NODE;SCENARIO;TECHNOLOGY;YEAR;MIN CAPACITY [MW];MAX CAPACITY [MW]
BG00;Global Ambition;Nuclear;2045;3000;3000
BG00;Global Ambition;Nuclear;2050;2000;2000
CH00;Global Ambition;Nuclear;2030;1190;1190
CH00;Global Ambition;Nuclear;2035;595;595
CH00;Global Ambition;Nuclear;2040;0;0
CH00;Global Ambition;Nuclear;2045;0;0
CH00;Global Ambition;Nuclear;2050;0;0
CY00;Global Ambition;Nuclear;2030;0;0
CY00;Global Ambition;Nuclear;2035;0;0
CY00;Global Ambition;Nuclear;2040;0;0
CY00;Global Ambition;Nuclear;2045;0;0
CY00;Global Ambition;Nuclear;2050;0;0
CZ00;Global Ambition;Nuclear;2030;4047;4047
CZ00;Global Ambition;Nuclear;2035;5900;5900
CZ00;Global Ambition;Nuclear;2040;7752;7752
CZ00;Global Ambition;Nuclear;2045;7367;7367
CZ00;Global Ambition;Nuclear;2050;6983;6983
DE00;Global Ambition;Nuclear;2030;0;0
DE00;Global Ambition;Nuclear;2035;0;0
DE00;Global Ambition;Nuclear;2040;0;0
DE00;Global Ambition;Nuclear;2045;0;0
DE00;Global Ambition;Nuclear;2050;0;0
DEKF;Global Ambition;Nuclear;2030;0;0
DEKF;Global Ambition;Nuclear;2035;0;0
DEKF;Global Ambition;Nuclear;2040;0;0
DEKF;Global Ambition;Nuclear;2045;0;0
DEKF;Global Ambition;Nuclear;2050;0;0
DKE1;Global Ambition;Nuclear;2030;0;0
DKE1;Global Ambition;Nuclear;2035;0;0
DKE1;Global Ambition;Nuclear;2040;0;0
DKE1;Global Ambition;Nuclear;2045;0;0
DKE1;Global Ambition;Nuclear;2050;0;0
DKKF;Global Ambition;Nuclear;2030;0;0
DKKF;Global Ambition;Nuclear;2035;0;0
DKKF;Global Ambition;Nuclear;2040;0;0
DKKF;Global Ambition;Nuclear;2045;0;0
DKKF;Global Ambition;Nuclear;2050;0;0
DKW1;Global Ambition;Nuclear;2030;0;0
DKW1;Global Ambition;Nuclear;2035;0;0
DKW1;Global Ambition;Nuclear;2040;0;0
DKW1;Global Ambition;Nuclear;2045;0;0
DKW1;Global Ambition;Nuclear;2050;0;0
EE00;Global Ambition;Nuclear;2030;0;0
EE00;Global Ambition;Nuclear;2035;0;0
EE00;Global Ambition;Nuclear;2040;0;0
EE00;Global Ambition;Nuclear;2045;0;0
EE00;Global Ambition;Nuclear;2050;0;0
ES00;Global Ambition;Nuclear;2030;5100;5100
ES00;Global Ambition;Nuclear;2035;2550;2550
ES00;Global Ambition;Nuclear;2040;0;0
ES00;Global Ambition;Nuclear;2045;0;0
ES00;Global Ambition;Nuclear;2050;0;0
FI00;Global Ambition;Nuclear;2030;4394;4394
FI00;Global Ambition;Nuclear;2035;6394;6394
FI00;Global Ambition;Nuclear;2040;8394;8394
FI00;Global Ambition;Nuclear;2045;9197;9197
FI00;Global Ambition;Nuclear;2050;10000;10000
FR00;Global Ambition;Nuclear;2030;63000;63000
FR00;Global Ambition;Nuclear;2035;64500;64500
FR00;Global Ambition;Nuclear;2040;66000;66000
FR00;Global Ambition;Nuclear;2045;58070;58070
FR00;Global Ambition;Nuclear;2050;50139;50139
GR00;Global Ambition;Nuclear;2030;0;0
GR00;Global Ambition;Nuclear;2035;0;0
GR00;Global Ambition;Nuclear;2040;0;0
GR00;Global Ambition;Nuclear;2045;0;0
GR00;Global Ambition;Nuclear;2050;0;0
GR03;Global Ambition;Nuclear;2030;0;0
GR03;Global Ambition;Nuclear;2035;0;0
GR03;Global Ambition;Nuclear;2040;0;0
GR03;Global Ambition;Nuclear;2045;0;0
GR03;Global Ambition;Nuclear;2050;0;0
HR00;Global Ambition;Nuclear;2030;0;0
HR00;Global Ambition;Nuclear;2035;0;0
HR00;Global Ambition;Nuclear;2040;0;0
HR00;Global Ambition;Nuclear;2045;0;0
HR00;Global Ambition;Nuclear;2050;0;0
HU00;Global Ambition;Nuclear;2030;3097;3097
HU00;Global Ambition;Nuclear;2035;3687;3687
HU00;Global Ambition;Nuclear;2040;4277;4277
HU00;Global Ambition;Nuclear;2045;3319;3319
HU00;Global Ambition;Nuclear;2050;2360;2360
IE00;Global Ambition;Nuclear;2030;0;0
IE00;Global Ambition;Nuclear;2035;0;0
IE00;Global Ambition;Nuclear;2040;0;0
IE00;Global Ambition;Nuclear;2045;0;0
IE00;Global Ambition;Nuclear;2050;0;0
ITCA;Global Ambition;Nuclear;2030;0;0
ITCA;Global Ambition;Nuclear;2035;0;0
ITCA;Global Ambition;Nuclear;2040;0;0
ITCA;Global Ambition;Nuclear;2045;0;0
ITCA;Global Ambition;Nuclear;2050;0;0
ITCN;Global Ambition;Nuclear;2030;0;0
ITCN;Global Ambition;Nuclear;2035;0;0
ITCN;Global Ambition;Nuclear;2040;0;0
ITCN;Global Ambition;Nuclear;2045;0;0
ITCN;Global Ambition;Nuclear;2050;0;0
ITCS;Global Ambition;Nuclear;2030;0;0
ITCS;Global Ambition;Nuclear;2035;0;0
ITCS;Global Ambition;Nuclear;2040;0;0
ITCS;Global Ambition;Nuclear;2045;0;0
ITCS;Global Ambition;Nuclear;2050;0;0
ITN1;Global Ambition;Nuclear;2030;0;0
ITN1;Global Ambition;Nuclear;2035;0;0
ITN1;Global Ambition;Nuclear;2040;0;0
ITN1;Global Ambition;Nuclear;2045;0;0
ITN1;Global Ambition;Nuclear;2050;0;0
ITS1;Global Ambition;Nuclear;2030;0;0
ITS1;Global Ambition;Nuclear;2035;0;0
ITS1;Global Ambition;Nuclear;2040;0;0
ITS1;Global Ambition;Nuclear;2045;0;0
ITS1;Global Ambition;Nuclear;2050;0;0
ITSA;Global Ambition;Nuclear;2030;0;0
ITSA;Global Ambition;Nuclear;2035;0;0
ITSA;Global Ambition;Nuclear;2040;0;0
ITSA;Global Ambition;Nuclear;2045;0;0
ITSA;Global Ambition;Nuclear;2050;0;0
ITSI;Global Ambition;Nuclear;2030;0;0
ITSI;Global Ambition;Nuclear;2035;0;0
ITSI;Global Ambition;Nuclear;2040;0;0
ITSI;Global Ambition;Nuclear;2045;0;0
ITSI;Global Ambition;Nuclear;2050;0;0
LT00;Global Ambition;Nuclear;2030;0;0
LT00;Global Ambition;Nuclear;2035;0;0
LT00;Global Ambition;Nuclear;2040;0;0
LT00;Global Ambition;Nuclear;2045;0;0
LT00;Global Ambition;Nuclear;2050;0;0
LUB1;Global Ambition;Nuclear;2030;0;0
LUB1;Global Ambition;Nuclear;2035;0;0
LUB1;Global Ambition;Nuclear;2040;0;0
LUB1;Global Ambition;Nuclear;2045;0;0
LUB1;Global Ambition;Nuclear;2050;0;0
LUF1;Global Ambition;Nuclear;2030;0;0
LUF1;Global Ambition;Nuclear;2035;0;0
LUF1;Global Ambition;Nuclear;2040;0;0
LUF1;Global Ambition;Nuclear;2045;0;0
LUF1;Global Ambition;Nuclear;2050;0;0
LUG1;Global Ambition;Nuclear;2030;0;0
LUG1;Global Ambition;Nuclear;2035;0;0
LUG1;Global Ambition;Nuclear;2040;0;0
LUG1;Global Ambition;Nuclear;2045;0;0
LUG1;Global Ambition;Nuclear;2050;0;0
LUV1;Global Ambition;Nuclear;2030;0;0
LUV1;Global Ambition;Nuclear;2035;0;0
LUV1;Global Ambition;Nuclear;2040;0;0
LUV1;Global Ambition;Nuclear;2045;0;0
LUV1;Global Ambition;Nuclear;2050;0;0
LV00;Global Ambition;Nuclear;2030;0;0
LV00;Global Ambition;Nuclear;2035;0;0
LV00;Global Ambition;Nuclear;2040;0;0
LV00;Global Ambition;Nuclear;2045;0;0
LV00;Global Ambition;Nuclear;2050;0;0
ME00;Global Ambition;Nuclear;2030;0;0
ME00;Global Ambition;Nuclear;2035;0;0
ME00;Global Ambition;Nuclear;2040;0;0
ME00;Global Ambition;Nuclear;2045;0;0
ME00;Global Ambition;Nuclear;2050;0;0
MK00;Global Ambition;Nuclear;2030;0;0
MK00;Global Ambition;Nuclear;2035;0;0
MK00;Global Ambition;Nuclear;2040;0;0
MK00;Global Ambition;Nuclear;2045;0;0
MK00;Global Ambition;Nuclear;2050;0;0
MT00;Global Ambition;Nuclear;2030;0;0
MT00;Global Ambition;Nuclear;2035;0;0
MT00;Global Ambition;Nuclear;2040;0;0
MT00;Global Ambition;Nuclear;2045;0;0
MT00;Global Ambition;Nuclear;2050;0;0
NL00;Global Ambition;Nuclear;2030;486;486
NL00;Global Ambition;Nuclear;2035;1743;1743
NL00;Global Ambition;Nuclear;2040;3000;3000
NL00;Global Ambition;Nuclear;2045;4500;4500
NL00;Global Ambition;Nuclear;2050;6000;6000
NOM1;Global Ambition;Nuclear;2030;0;0
NOM1;Global Ambition;Nuclear;2035;0;0
NOM1;Global Ambition;Nuclear;2040;0;0
NOM1;Global Ambition;Nuclear;2045;0;0
NOM1;Global Ambition;Nuclear;2050;0;0
NON1;Global Ambition;Nuclear;2030;0;0
NON1;Global Ambition;Nuclear;2035;0;0
NON1;Global Ambition;Nuclear;2040;0;0
NON1;Global Ambition;Nuclear;2045;0;0
NON1;Global Ambition;Nuclear;2050;0;0
NOS0;Global Ambition;Nuclear;2030;0;0
NOS0;Global Ambition;Nuclear;2035;0;0
NOS0;Global Ambition;Nuclear;2040;0;0
NOS0;Global Ambition;Nuclear;2045;0;0
NOS0;Global Ambition;Nuclear;2050;0;0
PL00;Global Ambition;Nuclear;2030;1120;1120
PL00;Global Ambition;Nuclear;2035;4875;4875
PL00;Global Ambition;Nuclear;2040;8630;8630
PL00;Global Ambition;Nuclear;2045;11815;11815
PL00;Global Ambition;Nuclear;2050;15000;15000
PT00;Global Ambition;Nuclear;2030;0;0
PT00;Global Ambition;Nuclear;2035;0;0
PT00;Global Ambition;Nuclear;2040;0;0
PT00;Global Ambition;Nuclear;2045;0;0
PT00;Global Ambition;Nuclear;2050;0;0
RO00;Global Ambition;Nuclear;2030;2413;2413
RO00;Global Ambition;Nuclear;2035;2750;2750
RO00;Global Ambition;Nuclear;2040;3087;3087
RO00;Global Ambition;Nuclear;2045;3087;3087
RO00;Global Ambition;Nuclear;2050;3087;3087
RS00;Global Ambition;Nuclear;2030;0;0
RS00;Global Ambition;Nuclear;2035;0;0
RS00;Global Ambition;Nuclear;2040;0;0
RS00;Global Ambition;Nuclear;2045;0;0
RS00;Global Ambition;Nuclear;2050;0;0
SE01;Global Ambition;Nuclear;2030;0;0
SE01;Global Ambition;Nuclear;2035;900;900
SE01;Global Ambition;Nuclear;2040;1800;1800
SE01;Global Ambition;Nuclear;2045;3300;3300
SE01;Global Ambition;Nuclear;2050;4800;4800
SE02;Global Ambition;Nuclear;2030;0;0
SE02;Global Ambition;Nuclear;2035;0;0
SE02;Global Ambition;Nuclear;2040;0;0
SE02;Global Ambition;Nuclear;2045;0;0
SE02;Global Ambition;Nuclear;2050;0;0
SE03;Global Ambition;Nuclear;2030;7700;7700
SE03;Global Ambition;Nuclear;2035;8350;8350
SE03;Global Ambition;Nuclear;2040;9000;9000
SE03;Global Ambition;Nuclear;2045;10300;10300
SE03;Global Ambition;Nuclear;2050;11600;11600
SE04;Global Ambition;Nuclear;2030;0;0
SE04;Global Ambition;Nuclear;2035;0;0
SE04;Global Ambition;Nuclear;2040;0;0
SE04;Global Ambition;Nuclear;2045;0;0
SE04;Global Ambition;Nuclear;2050;0;0
SI00;Global Ambition;Nuclear;2030;696;696
SI00;Global Ambition;Nuclear;2035;898;898
SI00;Global Ambition;Nuclear;2040;1100;1100
SI00;Global Ambition;Nuclear;2045;1100;1100
SI00;Global Ambition;Nuclear;2050;1100;1100
SK00;Global Ambition;Nuclear;2030;2815;2815
SK00;Global Ambition;Nuclear;2035;2822;2822
SK00;Global Ambition;Nuclear;2040;2830;2830
SK00;Global Ambition;Nuclear;2045;2963;2963
SK00;Global Ambition;Nuclear;2050;3096;3096
UK00;Global Ambition;Nuclear;2030;8000;8000
UK00;Global Ambition;Nuclear;2035;11250;11250
UK00;Global Ambition;Nuclear;2040;14500;14500
UK00;Global Ambition;Nuclear;2045;15250;15250
UK00;Global Ambition;Nuclear;2050;16000;16000
UKNI;Global Ambition;Nuclear;2030;0;0
UKNI;Global Ambition;Nuclear;2035;0;0
UKNI;Global Ambition;Nuclear;2040;0;0
UKNI;Global Ambition;Nuclear;2045;0;0
UKNI;Global Ambition;Nuclear;2050;0;0
AL00;All;Wind Onshore;2030;280;280
AL00;All;Wind Onshore;2035;440;440
AL00;All;Wind Onshore;2040;600;600
AL00;All;Wind Onshore;2045;600;600
AL00;All;Wind Onshore;2050;600;600
AT00;All;Wind Onshore;2030;7500;11096
AT00;All;Wind Onshore;2035;7500;22018
AT00;All;Wind Onshore;2040;7500;32939
AT00;All;Wind Onshore;2045;7500;37042
AT00;All;Wind Onshore;2050;7500;41145
BA00;All;Wind Onshore;2030;787;787
BA00;All;Wind Onshore;2035;1152;1152
BA00;All;Wind Onshore;2040;1517;1517
BA00;All;Wind Onshore;2045;1767;1767
BA00;All;Wind Onshore;2050;2017;2017
BE00;All;Wind Onshore;2030;4900;5300
BE00;All;Wind Onshore;2035;4900;8900
BE00;All;Wind Onshore;2040;6500;9450
BE00;All;Wind Onshore;2045;7243;9725
BE00;All;Wind Onshore;2050;7986;10000
BG00;All;Wind Onshore;2030;800;1896
BG00;All;Wind Onshore;2035;1000;2759
BG00;All;Wind Onshore;2040;1200;3622
BG00;All;Wind Onshore;2045;1875;6311
BG00;All;Wind Onshore;2050;2550;9000
CH00;All;Wind Onshore;2030;180;310
CH00;All;Wind Onshore;2035;180;730
CH00;All;Wind Onshore;2040;180;1150
CH00;All;Wind Onshore;2045;839;1687
CH00;All;Wind Onshore;2050;1498;2223
CY00;All;Wind Onshore;2030;158;200
CY00;All;Wind Onshore;2035;158;250
CY00;All;Wind Onshore;2040;158;300
CY00;All;Wind Onshore;2045;153;350
CY00;All;Wind Onshore;2050;148;400
CZ00;All;Wind Onshore;2030;741;1665
CZ00;All;Wind Onshore;2035;941;2538
CZ00;All;Wind Onshore;2040;1141;3411
CZ00;All;Wind Onshore;2045;2149;3949
CZ00;All;Wind Onshore;2050;3156;4486
DE00;All;Wind Onshore;2030;115000;115000
DE00;All;Wind Onshore;2035;136938;141750
DE00;All;Wind Onshore;2040;158875;168500
DE00;All;Wind Onshore;2045;160000;180000
DE00;All;Wind Onshore;2050;161125;191500
DEKF;All;Wind Onshore;2030;0;0
DEKF;All;Wind Onshore;2035;0;0
DEKF;All;Wind Onshore;2040;0;0
DEKF;All;Wind Onshore;2045;0;0
DEKF;All;Wind Onshore;2050;0;0
DKE1;All;Wind Onshore;2030;500;1995
DKE1;All;Wind Onshore;2035;500;1995
DKE1;All;Wind Onshore;2040;500;1995
DKE1;All;Wind Onshore;2045;500;1995
DKE1;All;Wind Onshore;2050;500;1995
DKKF;All;Wind Onshore;2030;0;0
DKKF;All;Wind Onshore;2035;0;0
DKKF;All;Wind Onshore;2040;0;0
DKKF;All;Wind Onshore;2045;0;0
DKKF;All;Wind Onshore;2050;0;0
DKW1;All;Wind Onshore;2030;3500;10505
DKW1;All;Wind Onshore;2035;3500;10505
DKW1;All;Wind Onshore;2040;3500;10505
DKW1;All;Wind Onshore;2045;3500;10505
DKW1;All;Wind Onshore;2050;3500;10505
EE00;All;Wind Onshore;2030;634;1200
EE00;All;Wind Onshore;2035;665;1850
EE00;All;Wind Onshore;2040;696;2500
EE00;All;Wind Onshore;2045;779;3100
EE00;All;Wind Onshore;2050;861;3700
ES00;All;Wind Onshore;2030;45400;57200
ES00;All;Wind Onshore;2035;55400;75050
ES00;All;Wind Onshore;2040;65400;92900
ES00;All;Wind Onshore;2045;70400;98659
ES00;All;Wind Onshore;2050;75400;104418
FI00;All;Wind Onshore;2030;13000;26000
FI00;All;Wind Onshore;2035;13000;46000
FI00;All;Wind Onshore;2040;13000;66000
FI00;All;Wind Onshore;2045;13000;86000
FI00;All;Wind Onshore;2050;13000;106000
FR00;All;Wind Onshore;2030;28000;39000
FR00;All;Wind Onshore;2035;29250;50000
FR00;All;Wind Onshore;2040;30500;61000
FR00;All;Wind Onshore;2045;35250;70500
FR00;All;Wind Onshore;2050;40000;80000
GR00;All;Wind Onshore;2030;6589;10000
GR00;All;Wind Onshore;2035;6794;12500
GR00;All;Wind Onshore;2040;7000;15000
GR00;All;Wind Onshore;2045;8500;20000
GR00;All;Wind Onshore;2050;10000;25000
GR03;All;Wind Onshore;2030;500;2500
GR03;All;Wind Onshore;2035;650;2500
GR03;All;Wind Onshore;2040;800;2500
GR03;All;Wind Onshore;2045;900;2500
GR03;All;Wind Onshore;2050;1000;2500
HR00;All;Wind Onshore;2030;1500;1800
HR00;All;Wind Onshore;2035;1750;2150
HR00;All;Wind Onshore;2040;2000;2500
HR00;All;Wind Onshore;2045;2000;2750
HR00;All;Wind Onshore;2050;2000;3000
HU00;All;Wind Onshore;2030;334;1080
HU00;All;Wind Onshore;2035;167;1540
HU00;All;Wind Onshore;2040;0;2000
HU00;All;Wind Onshore;2045;0;2500
HU00;All;Wind Onshore;2050;0;3000
IE00;All;Wind Onshore;2030;7000;8975
IE00;All;Wind Onshore;2035;7000;9342
IE00;All;Wind Onshore;2040;7000;9708
IE00;All;Wind Onshore;2045;7000;10508
IE00;All;Wind Onshore;2050;7000;11308
ITCA;All;Wind Onshore;2030;1623;1893
ITCA;All;Wind Onshore;2035;1713;1938
ITCA;All;Wind Onshore;2040;1803;1983
ITCA;All;Wind Onshore;2045;1803;2570
ITCA;All;Wind Onshore;2050;1803;3156
ITCN;All;Wind Onshore;2030;382;445
ITCN;All;Wind Onshore;2035;403;585
ITCN;All;Wind Onshore;2040;424;725
ITCN;All;Wind Onshore;2045;542;939
ITCN;All;Wind Onshore;2050;659;1153
ITCS;All;Wind Onshore;2030;2801;3268
ITCS;All;Wind Onshore;2035;2957;4658
ITCS;All;Wind Onshore;2040;3112;6048
ITCS;All;Wind Onshore;2045;4305;7836
ITCS;All;Wind Onshore;2050;5498;9623
ITN1;All;Wind Onshore;2030;254;296
ITN1;All;Wind Onshore;2035;268;710
ITN1;All;Wind Onshore;2040;282;1124
ITN1;All;Wind Onshore;2045;652;1457
ITN1;All;Wind Onshore;2050;1022;1789
ITS1;All;Wind Onshore;2030;7180;8377
ITS1;All;Wind Onshore;2035;7579;8577
ITS1;All;Wind Onshore;2040;7978;8776
ITS1;All;Wind Onshore;2045;7978;11370
ITS1;All;Wind Onshore;2050;7978;13964
ITSA;All;Wind Onshore;2030;1674;1953
ITSA;All;Wind Onshore;2035;1767;2000
ITSA;All;Wind Onshore;2040;1860;2046
ITSA;All;Wind Onshore;2045;1860;2651
ITSA;All;Wind Onshore;2050;1860;3256
ITSI;All;Wind Onshore;2030;2657;3100
ITSI;All;Wind Onshore;2035;2805;3886
ITSI;All;Wind Onshore;2040;2952;4671
ITSI;All;Wind Onshore;2045;3599;6052
ITSI;All;Wind Onshore;2050;4246;7432
LT00;All;Wind Onshore;2030;5000;5000
LT00;All;Wind Onshore;2035;5215;5215
LT00;All;Wind Onshore;2040;5430;5430
LT00;All;Wind Onshore;2045;5540;5540
LT00;All;Wind Onshore;2050;5650;5650
LUB1;All;Wind Onshore;2030;0;0
LUB1;All;Wind Onshore;2035;0;0
LUB1;All;Wind Onshore;2040;0;0
LUB1;All;Wind Onshore;2045;0;0
LUB1;All;Wind Onshore;2050;0;0
LUF1;All;Wind Onshore;2030;0;0
LUF1;All;Wind Onshore;2035;0;0
LUF1;All;Wind Onshore;2040;0;0
LUF1;All;Wind Onshore;2045;0;0
LUF1;All;Wind Onshore;2050;0;0
LUG1;All;Wind Onshore;2030;0;400
LUG1;All;Wind Onshore;2035;0;450
LUG1;All;Wind Onshore;2040;0;500
LUG1;All;Wind Onshore;2045;0;550
LUG1;All;Wind Onshore;2050;0;600
LUV1;All;Wind Onshore;2030;0;0
LUV1;All;Wind Onshore;2035;0;0
LUV1;All;Wind Onshore;2040;0;0
LUV1;All;Wind Onshore;2045;0;0
LUV1;All;Wind Onshore;2050;0;0
LV00;All;Wind Onshore;2030;237;450
LV00;All;Wind Onshore;2035;295;500
LV00;All;Wind Onshore;2040;352;550
LV00;All;Wind Onshore;2045;352;600
LV00;All;Wind Onshore;2050;352;650
ME00;All;Wind Onshore;2030;0;254
ME00;All;Wind Onshore;2035;0;254
ME00;All;Wind Onshore;2040;0;254
ME00;All;Wind Onshore;2045;0;254
ME00;All;Wind Onshore;2050;0;254
MK00;All;Wind Onshore;2030;180;1100
MK00;All;Wind Onshore;2035;310;1300
MK00;All;Wind Onshore;2040;440;1500
MK00;All;Wind Onshore;2045;440;1500
MK00;All;Wind Onshore;2050;440;1500
MT00;All;Wind Onshore;2030;0;0
MT00;All;Wind Onshore;2035;0;0
MT00;All;Wind Onshore;2040;0;0
MT00;All;Wind Onshore;2045;0;0
MT00;All;Wind Onshore;2050;0;0
NL00;All;Wind Onshore;2030;7500;10300
NL00;All;Wind Onshore;2035;8100;12700
NL00;All;Wind Onshore;2040;8700;15100
NL00;All;Wind Onshore;2045;9350;17550
NL00;All;Wind Onshore;2050;10000;20000
NOM1;All;Wind Onshore;2030;2401;2425
NOM1;All;Wind Onshore;2035;2413;2425
NOM1;All;Wind Onshore;2040;2425;2425
NOM1;All;Wind Onshore;2045;2425;2425
NOM1;All;Wind Onshore;2050;2425;2425
NON1;All;Wind Onshore;2030;1108;1108
NON1;All;Wind Onshore;2035;1483;1483
NON1;All;Wind Onshore;2040;1858;1858
NON1;All;Wind Onshore;2045;1858;1858
NON1;All;Wind Onshore;2050;1858;1858
NOS0;All;Wind Onshore;2030;1798;2261
NOS0;All;Wind Onshore;2035;1929;2451
NOS0;All;Wind Onshore;2040;2061;2641
NOS0;All;Wind Onshore;2045;2161;2641
NOS0;All;Wind Onshore;2050;2261;2641
PL00;All;Wind Onshore;2030;10806;19000
PL00;All;Wind Onshore;2035;10806;29500
PL00;All;Wind Onshore;2040;10806;40000
PL00;All;Wind Onshore;2045;10806;51000
PL00;All;Wind Onshore;2050;10806;62000
PT00;All;Wind Onshore;2030;8700;10000
PT00;All;Wind Onshore;2035;9581;11500
PT00;All;Wind Onshore;2040;10463;13000
PT00;All;Wind Onshore;2045;10463;13000
PT00;All;Wind Onshore;2050;10463;13000
RO00;All;Wind Onshore;2030;5255;6500
RO00;All;Wind Onshore;2035;5628;7500
RO00;All;Wind Onshore;2040;6000;8500
RO00;All;Wind Onshore;2045;6000;8750
RO00;All;Wind Onshore;2050;6000;9000
RS00;All;Wind Onshore;2030;4282;4812
RS00;All;Wind Onshore;2035;4282;4812
RS00;All;Wind Onshore;2040;4282;4812
RS00;All;Wind Onshore;2045;4282;4812
RS00;All;Wind Onshore;2050;4282;4812
SE01;All;Wind Onshore;2030;2930;4200
SE01;All;Wind Onshore;2035;3300;5450
SE01;All;Wind Onshore;2040;3670;6700
SE01;All;Wind Onshore;2045;3670;8650
SE01;All;Wind Onshore;2050;3670;10600
SE02;All;Wind Onshore;2030;7000;9900
SE02;All;Wind Onshore;2035;7250;12850
SE02;All;Wind Onshore;2040;7500;15800
SE02;All;Wind Onshore;2045;7850;18300
SE02;All;Wind Onshore;2050;8200;20800
SE03;All;Wind Onshore;2030;3868;4900
SE03;All;Wind Onshore;2035;4094;6700
SE03;All;Wind Onshore;2040;4320;8500
SE03;All;Wind Onshore;2045;4320;10000
SE03;All;Wind Onshore;2050;4320;11500
SE04;All;Wind Onshore;2030;2000;2600
SE04;All;Wind Onshore;2035;2185;3250
SE04;All;Wind Onshore;2040;2370;3900
SE04;All;Wind Onshore;2045;2370;5050
SE04;All;Wind Onshore;2050;2370;6200
SI00;All;Wind Onshore;2030;60;151
SI00;All;Wind Onshore;2035;90;245
SI00;All;Wind Onshore;2040;120;339
SI00;All;Wind Onshore;2045;92;379
SI00;All;Wind Onshore;2050;64;418
SK00;All;Wind Onshore;2030;715;715
SK00;All;Wind Onshore;2035;785;1035
SK00;All;Wind Onshore;2040;855;1355
SK00;All;Wind Onshore;2045;928;1678
SK00;All;Wind Onshore;2050;1000;2000
UK00;All;Wind Onshore;2030;22271;39038
UK00;All;Wind Onshore;2035;22271;40539
UK00;All;Wind Onshore;2040;22271;42040
UK00;All;Wind Onshore;2045;22271;46072
UK00;All;Wind Onshore;2050;22271;50105
UKNI;All;Wind Onshore;2030;2466;2466
UKNI;All;Wind Onshore;2035;2508;2940
UKNI;All;Wind Onshore;2040;2550;3413
UKNI;All;Wind Onshore;2045;2550;3613
UKNI;All;Wind Onshore;2050;2550;3813
AL00;All;Solar PV Rooftop;2030;0;0
AL00;All;Solar PV Rooftop;2035;0;0
AL00;All;Solar PV Rooftop;2040;0;0
AL00;All;Solar PV Rooftop;2045;0;0
AL00;All;Solar PV Rooftop;2050;0;0
AT00;All;Solar PV Rooftop;2030;6616;16539
AT00;All;Solar PV Rooftop;2035;6407;21699
AT00;All;Solar PV Rooftop;2040;6198;26859
AT00;All;Solar PV Rooftop;2045;6250;40215
AT00;All;Solar PV Rooftop;2050;6302;53570
BA00;All;Solar PV Rooftop;2030;0;0
BA00;All;Solar PV Rooftop;2035;0;0
BA00;All;Solar PV Rooftop;2040;0;0
BA00;All;Solar PV Rooftop;2045;0;0
BA00;All;Solar PV Rooftop;2050;0;0
BE00;All;Solar PV Rooftop;2030;11000;15000
BE00;All;Solar PV Rooftop;2035;12700;23300
BE00;All;Solar PV Rooftop;2040;20000;35000
BE00;All;Solar PV Rooftop;2045;24500;45000
BE00;All;Solar PV Rooftop;2050;29000;55000
BG00;All;Solar PV Rooftop;2030;449;1242
BG00;All;Solar PV Rooftop;2035;622;1682
BG00;All;Solar PV Rooftop;2040;794;2122
BG00;All;Solar PV Rooftop;2045;1070;2593
BG00;All;Solar PV Rooftop;2050;1345;3064
CH00;All;Solar PV Rooftop;2030;7650;12210
CH00;All;Solar PV Rooftop;2035;8875;21150
CH00;All;Solar PV Rooftop;2040;10100;30090
CH00;All;Solar PV Rooftop;2045;11706;37329
CH00;All;Solar PV Rooftop;2050;13312;44567
CY00;All;Solar PV Rooftop;2030;387;515
CY00;All;Solar PV Rooftop;2035;402;555
CY00;All;Solar PV Rooftop;2040;417;595
CY00;All;Solar PV Rooftop;2045;392;632
CY00;All;Solar PV Rooftop;2050;367;668
CZ00;All;Solar PV Rooftop;2030;3571;5022
CZ00;All;Solar PV Rooftop;2035;3695;5507
CZ00;All;Solar PV Rooftop;2040;3819;5991
CZ00;All;Solar PV Rooftop;2045;2714;4291
CZ00;All;Solar PV Rooftop;2050;1610;2591
DE00;All;Solar PV Rooftop;2030;117999;117999
DE00;All;Solar PV Rooftop;2035;155874;164910
DE00;All;Solar PV Rooftop;2040;193750;211821
DE00;All;Solar PV Rooftop;2045;202029;239258
DE00;All;Solar PV Rooftop;2050;210307;266696
DEKF;All;Solar PV Rooftop;2030;0;0
DEKF;All;Solar PV Rooftop;2035;0;0
DEKF;All;Solar PV Rooftop;2040;0;0
DEKF;All;Solar PV Rooftop;2045;0;0
DEKF;All;Solar PV Rooftop;2050;0;0
DKE1;All;Solar PV Rooftop;2030;150;1087
DKE1;All;Solar PV Rooftop;2035;215;1230
DKE1;All;Solar PV Rooftop;2040;280;1374
DKE1;All;Solar PV Rooftop;2045;330;1620
DKE1;All;Solar PV Rooftop;2050;380;1866
DKKF;All;Solar PV Rooftop;2030;0;0
DKKF;All;Solar PV Rooftop;2035;0;0
DKKF;All;Solar PV Rooftop;2040;0;0
DKKF;All;Solar PV Rooftop;2045;0;0
DKKF;All;Solar PV Rooftop;2050;0;0
DKW1;All;Solar PV Rooftop;2030;220;3594
DKW1;All;Solar PV Rooftop;2035;317;4068
DKW1;All;Solar PV Rooftop;2040;413;4541
DKW1;All;Solar PV Rooftop;2045;487;5355
DKW1;All;Solar PV Rooftop;2050;561;6169
