ws;Technology;cat;par;unit;priceyear;note;ref;est;year;val
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Additional heat potential with heat pumps (of thermal input) [];;;C;1;upper;2020;0,26
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Additional heat potential with heat pumps (of thermal input) [];;;C;1;upper;2050;0,28
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Combustion air humidification;;;[C, M];;ctrl;2015;1
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Combustion air humidification;;;[C, M];;ctrl;2020;1
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Combustion air humidification;;;[C, M];;ctrl;2030;1
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Combustion air humidification;;;[C, M];;ctrl;2050;1
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Combustion air humidification;;;[C, M];;lower;2020;0
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Combustion air humidification;;;[C, M];;lower;2050;0
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Combustion air humidification;;;[C, M];;upper;2020;1
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Combustion air humidification;;;[C, M];;upper;2050;1
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Fixed O&M (*total) [EUR/MW_i/y];EUR/MW_i/y;2020;;;ctrl;2015;44448,97959
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Fixed O&M (*total) [EUR/MW_i/y];EUR/MW_i/y;2020;;;ctrl;2020;43810,95596
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Fixed O&M (*total) [EUR/MW_i/y];EUR/MW_i/y;2020;;;ctrl;2030;42747,58324
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Fixed O&M (*total) [EUR/MW_i/y];EUR/MW_i/y;2020;;;ctrl;2050;41471,53598
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Fixed O&M (*total) [EUR/MW_i/y];EUR/MW_i/y;2020;;;lower;2020;37537,05693
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Fixed O&M (*total) [EUR/MW_i/y];EUR/MW_i/y;2020;;;lower;2050;31475,83244
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Fixed O&M (*total) [EUR/MW_i/y];EUR/MW_i/y;2020;;;upper;2020;50829,2159
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Fixed O&M (*total) [EUR/MW_i/y];EUR/MW_i/y;2020;;;upper;2050;53274,97315
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Flue gas condensation;;;[C, M];;ctrl;2015;1
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Flue gas condensation;;;[C, M];;ctrl;2020;1
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Flue gas condensation;;;[C, M];;ctrl;2030;1
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Flue gas condensation;;;[C, M];;ctrl;2050;1
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Flue gas condensation;;;[C, M];;lower;2020;0
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Flue gas condensation;;;[C, M];;lower;2050;0
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Flue gas condensation;;;[C, M];;upper;2020;1
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Flue gas condensation;;;[C, M];;upper;2050;1
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Fuel storage specific cost in excess of 2 days [MEUR/MW_i/storage day];MEUR/MW_i/storageday;2020;K;;ctrl;2015;0,021267454
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Fuel storage specific cost in excess of 2 days [MEUR/MW_i/storage day];MEUR/MW_i/storageday;2020;K;;ctrl;2020;0,021267454
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Fuel storage specific cost in excess of 2 days [MEUR/MW_i/storage day];MEUR/MW_i/storageday;2020;K;;ctrl;2030;0,021267454
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Fuel storage specific cost in excess of 2 days [MEUR/MW_i/storage day];MEUR/MW_i/storageday;2020;K;;ctrl;2050;0,021267454
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Fuel storage specific cost in excess of 2 days [MEUR/MW_i/storage day];MEUR/MW_i/storageday;2020;K;;lower;2020;0,021267454
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Fuel storage specific cost in excess of 2 days [MEUR/MW_i/storage day];MEUR/MW_i/storageday;2020;K;;lower;2050;0,010633727
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Fuel storage specific cost in excess of 2 days [MEUR/MW_i/storage day];MEUR/MW_i/storageday;2020;K;;upper;2020;0,021267454
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Fuel storage specific cost in excess of 2 days [MEUR/MW_i/storage day];MEUR/MW_i/storageday;2020;K;;upper;2050;0,021267454
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Heat efficiency (net, annual average) [];;;[B, H];1;ctrl;2015;0,973179
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Heat efficiency (net, annual average) [];;;[B, H];1;ctrl;2020;0,973179
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Heat efficiency (net, annual average) [];;;[B, H];1;ctrl;2030;0,972601
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Heat efficiency (net, annual average) [];;;[B, H];1;ctrl;2050;0,975463
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Heat efficiency (net, annual average) [];;;[B, H];1;lower;2020;0,73
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Heat efficiency (net, annual average) [];;;[B, H];1;lower;2050;0,7
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Heat efficiency (net, annual average) [];;;[B, H];1;upper;2020;0,98
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Heat efficiency (net, annual average) [];;;[B, H];1;upper;2050;0,98
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Heat efficiency (net, name plate) [];;;[B, H];1;ctrl;2015;0,965846
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Heat efficiency (net, name plate) [];;;[B, H];1;ctrl;2020;0,965846
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Heat efficiency (net, name plate) [];;;[B, H];1;ctrl;2030;0,965239
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Heat efficiency (net, name plate) [];;;[B, H];1;ctrl;2050;0,968245
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Heat efficiency (net, name plate) [];;;[B, H];1;lower;2020;0,71
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Heat efficiency (net, name plate) [];;;[B, H];1;lower;2050;0,69
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Heat efficiency (net, name plate) [];;;[B, H];1;upper;2020;0,98
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Heat efficiency (net, name plate) [];;;[B, H];1;upper;2050;0,98
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Nominal investment (*total) [MEUR/MW_i];MEUR/MW_i;2020;[J, K];1;ctrl;2015;1,010204082
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Nominal investment (*total) [MEUR/MW_i];MEUR/MW_i;2020;[J, K];1;ctrl;2020;0,988936627
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Nominal investment (*total) [MEUR/MW_i];MEUR/MW_i;2020;[J, K];1;ctrl;2030;0,935767991
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Nominal investment (*total) [MEUR/MW_i];MEUR/MW_i;2020;[J, K];1;ctrl;2050;0,893233083
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Nominal investment (*total) [MEUR/MW_i];MEUR/MW_i;2020;[J, K];1;lower;2020;0,861331901
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Nominal investment (*total) [MEUR/MW_i];MEUR/MW_i;2020;[J, K];1;lower;2050;0,701825994
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Nominal investment (*total) [MEUR/MW_i];MEUR/MW_i;2020;[J, K];1;upper;2020;1,159076262
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Nominal investment (*total) [MEUR/MW_i];MEUR/MW_i;2020;[J, K];1;upper;2050;1,212244898
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Nominal investment (equipment) [MEUR/MW_i];MEUR/MW_i;2020;K;;ctrl;2015;0,627389903
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Nominal investment (equipment) [MEUR/MW_i];MEUR/MW_i;2020;K;;ctrl;2020;0,616756176
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Nominal investment (equipment) [MEUR/MW_i];MEUR/MW_i;2020;K;;ctrl;2030;0,584854995
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Nominal investment (equipment) [MEUR/MW_i];MEUR/MW_i;2020;K;;ctrl;2050;0,56358754
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Nominal investment (equipment) [MEUR/MW_i];MEUR/MW_i;2020;K;;lower;2020;0,531686359
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Nominal investment (equipment) [MEUR/MW_i];MEUR/MW_i;2020;K;;lower;2050;0,435982814
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Nominal investment (equipment) [MEUR/MW_i];MEUR/MW_i;2020;K;;upper;2020;0,723093448
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Nominal investment (equipment) [MEUR/MW_i];MEUR/MW_i;2020;K;;upper;2050;0,765628357
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Nominal investment (installation) [MEUR/MW_i];MEUR/MW_i;2020;K;;ctrl;2015;0,382814178
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Nominal investment (installation) [MEUR/MW_i];MEUR/MW_i;2020;K;;ctrl;2020;0,372180451
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Nominal investment (installation) [MEUR/MW_i];MEUR/MW_i;2020;K;;ctrl;2030;0,350912997
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Nominal investment (installation) [MEUR/MW_i];MEUR/MW_i;2020;K;;ctrl;2050;0,319011815
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Nominal investment (installation) [MEUR/MW_i];MEUR/MW_i;2020;K;;lower;2020;0,329645542
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Nominal investment (installation) [MEUR/MW_i];MEUR/MW_i;2020;K;;lower;2050;0,265843179
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Nominal investment (installation) [MEUR/MW_i];MEUR/MW_i;2020;K;;upper;2020;0,435982814
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Nominal investment (installation) [MEUR/MW_i];MEUR/MW_i;2020;K;;upper;2050;0,446616541
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Output of recovered condensate [t/MWh_i];t/MWh_i;;[C, L];;ctrl;2015;0,25
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Output of recovered condensate [t/MWh_i];t/MWh_i;;[C, L];;ctrl;2020;0,25
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Output of recovered condensate [t/MWh_i];t/MWh_i;;[C, L];;ctrl;2030;0,25
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Output of recovered condensate [t/MWh_i];t/MWh_i;;[C, L];;ctrl;2050;0,25
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Output of recovered condensate [t/MWh_i];t/MWh_i;;[C, L];;lower;2020;0
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Output of recovered condensate [t/MWh_i];t/MWh_i;;[C, L];;lower;2050;0
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Output of recovered condensate [t/MWh_i];t/MWh_i;;[C, L];;upper;2020;0,25
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Output of recovered condensate [t/MWh_i];t/MWh_i;;[C, L];;upper;2050;0,25
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Steam reheat;;;M;;ctrl;2015;0
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Steam reheat;;;M;;ctrl;2020;0
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Steam reheat;;;M;;ctrl;2030;0
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Steam reheat;;;M;;ctrl;2050;0
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Steam reheat;;;M;;lower;2020;0
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Steam reheat;;;M;;lower;2050;0
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Steam reheat;;;M;;upper;2020;0
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Steam reheat;;;M;;upper;2050;0
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Variable O&M (*total) [EUR/MWh_i];EUR/MWh_i;2020;L;;ctrl;2015;1,446186896
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Variable O&M (*total) [EUR/MWh_i];EUR/MWh_i;2020;L;;ctrl;2020;1,446186896
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Variable O&M (*total) [EUR/MWh_i];EUR/MWh_i;2020;L;;ctrl;2030;1,446186896
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Variable O&M (*total) [EUR/MWh_i];EUR/MWh_i;2020;L;;ctrl;2050;1,446186896
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Variable O&M (*total) [EUR/MWh_i];EUR/MWh_i;2020;L;;lower;2020;1,010204082
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Variable O&M (*total) [EUR/MWh_i];EUR/MWh_i;2020;L;;lower;2050;0,882599356
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Variable O&M (*total) [EUR/MWh_i];EUR/MWh_i;2020;L;;upper;2020;1,626960258
09a Wood Chips, Small;Biomass CHP - back pressure - wood chips - small;Technology-specific data;Variable O&M (*total) [EUR/MWh_i];EUR/MWh_i;2020;L;;upper;2050;1,743931257
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Auxiliary Electricity consumption (share of heat gen.) [];;;;1;ctrl;2015;0,032838
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Auxiliary Electricity consumption (share of heat gen.) [];;;;1;ctrl;2020;0,032669
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Auxiliary Electricity consumption (share of heat gen.) [];;;;1;ctrl;2030;0,032701
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Auxiliary Electricity consumption (share of heat gen.) [];;;;1;ctrl;2050;0,032701
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Auxiliary Electricity consumption (share of heat gen.) [];;;;1;lower;2020;0,024078
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Auxiliary Electricity consumption (share of heat gen.) [];;;;1;lower;2050;0,019262
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Auxiliary Electricity consumption (share of heat gen.) [];;;;1;upper;2020;0,036904
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Auxiliary Electricity consumption (share of heat gen.) [];;;;1;upper;2050;0,036921
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Cb coefficient (40¡C/80¡C);;;;;ctrl;2015;0,51
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Cb coefficient (40¡C/80¡C);;;;;ctrl;2020;0,51
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Cb coefficient (40¡C/80¡C);;;;;ctrl;2030;0,52
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Cb coefficient (40¡C/80¡C);;;;;ctrl;2050;0,52
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Cb coefficient (40¡C/80¡C);;;;;lower;2020;0,5
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Cb coefficient (40¡C/80¡C);;;;;lower;2050;0,5
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Cb coefficient (40¡C/80¡C);;;;;upper;2020;0,67
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Cb coefficient (40¡C/80¡C);;;;;upper;2050;0,67
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Construction time [years];years;;;1;ctrl;2015;5
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Construction time [years];years;;;1;ctrl;2020;5
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Construction time [years];years;;;1;ctrl;2030;5
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Construction time [years];years;;;1;ctrl;2050;5
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Construction time [years];years;;;1;lower;2020;4,5
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Construction time [years];years;;;1;lower;2050;4
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Construction time [years];years;;;1;upper;2020;5,5
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Construction time [years];years;;;1;upper;2050;5,5
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Cv coefficient (40¡C/80¡C);;;I;;ctrl;2015;1
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Cv coefficient (40¡C/80¡C);;;I;;ctrl;2020;1
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Cv coefficient (40¡C/80¡C);;;I;;ctrl;2030;1
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Cv coefficient (40¡C/80¡C);;;I;;ctrl;2050;1
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Cv coefficient (40¡C/80¡C);;;I;;lower;2020;1
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Cv coefficient (40¡C/80¡C);;;I;;lower;2050;1
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Cv coefficient (40¡C/80¡C);;;I;;upper;2020;1
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Cv coefficient (40¡C/80¡C);;;I;;upper;2050;1
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Electrical efficiency (net, annual average) [];;;[A, H];1;ctrl;2015;0,317676
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Electrical efficiency (net, annual average) [];;;[A, H];1;ctrl;2020;0,318368
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Electrical efficiency (net, annual average) [];;;[A, H];1;ctrl;2030;0,319246
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Electrical efficiency (net, annual average) [];;;[A, H];1;ctrl;2050;0,319246
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Electrical efficiency (net, annual average) [];;;[A, H];1;lower;2020;0,29
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Electrical efficiency (net, annual average) [];;;[A, H];1;lower;2050;0,29
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Electrical efficiency (net, annual average) [];;;[A, H];1;upper;2020;0,42
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Electrical efficiency (net, annual average) [];;;[A, H];1;upper;2050;0,42
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Electrical efficiency (net, name plate) [];;;[A, H];1;ctrl;2015;0,334396
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Electrical efficiency (net, name plate) [];;;[A, H];1;ctrl;2020;0,335124
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Electrical efficiency (net, name plate) [];;;[A, H];1;ctrl;2030;0,336048
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Electrical efficiency (net, name plate) [];;;[A, H];1;ctrl;2050;0,336048
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Electrical efficiency (net, name plate) [];;;[A, H];1;lower;2020;0,32
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Electrical efficiency (net, name plate) [];;;[A, H];1;lower;2050;0,32
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Electrical efficiency (net, name plate) [];;;[A, H];1;upper;2020;0,44
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Electrical efficiency (net, name plate) [];;;[A, H];1;upper;2050;0,44
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Forced outage [];;;;;ctrl;2015;0,03
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Forced outage [];;;;;ctrl;2020;0,03
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Forced outage [];;;;;ctrl;2030;0,03
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Forced outage [];;;;;ctrl;2050;0,03
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Forced outage [];;;;;lower;2020;0,03
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Forced outage [];;;;;lower;2050;0,03
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Forced outage [];;;;;upper;2020;0,03
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Forced outage [];;;;;upper;2050;0,03
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Generating capacity for one unit [MW_e];MW_e;;A;;ctrl;2015;267,52
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Generating capacity for one unit [MW_e];MW_e;;A;;ctrl;2020;268,1
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Generating capacity for one unit [MW_e];MW_e;;A;;ctrl;2030;268,84
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Generating capacity for one unit [MW_e];MW_e;;A;;ctrl;2050;268,84
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Generating capacity for one unit [MW_e];MW_e;;A;;lower;2020;262,35
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Generating capacity for one unit [MW_e];MW_e;;A;;lower;2050;262,35
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Generating capacity for one unit [MW_e];MW_e;;A;;upper;2020;348,19
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Generating capacity for one unit [MW_e];MW_e;;A;;upper;2050;348,58
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Planned outage [weeks per year];weeks/year;;;;ctrl;2015;3
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Planned outage [weeks per year];weeks/year;;;;ctrl;2020;3
09b Wood Pellets, Large 40 degr;Biomass CHP, 40/80 degree - back pressure - wood pellets - large;Energy/technical data;Planned outage [weeks per year];weeks/year;;;;ctrl;2030;3
