ws;Technology;cat;par;unit;priceyear;note;ref;est;year;val
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Environment;SO2 (degree of desulphuring) [];;;B;5;ctrl;2050;0,97
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Financial data;Fixed O&M (*total) [EUR/MW_e/y];EUR/MW_e/y;2020;J;[17, 18, 19, 20, 21, 22];ctrl;2015;35618,98843
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Financial data;Fixed O&M (*total) [EUR/MW_e/y];EUR/MW_e/y;2020;J;[17, 18, 19, 20, 21, 22];ctrl;2020;35053,60766
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Financial data;Fixed O&M (*total) [EUR/MW_e/y];EUR/MW_e/y;2020;J;[17, 18, 19, 20, 21, 22];ctrl;2030;34324,40216
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Financial data;Fixed O&M (*total) [EUR/MW_e/y];EUR/MW_e/y;2020;J;[17, 18, 19, 20, 21, 22];ctrl;2050;32911,17639
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Financial data;Nominal investment (*total) [MEUR/MW_e];MEUR/MW_e;2020;J;[17, 18, 19, 20, 21, 22];ctrl;2015;2,182369767
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Financial data;Nominal investment (*total) [MEUR/MW_e];MEUR/MW_e;2020;J;[17, 18, 19, 20, 21, 22];ctrl;2020;2,148446921
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Financial data;Nominal investment (*total) [MEUR/MW_e];MEUR/MW_e;2020;J;[17, 18, 19, 20, 21, 22];ctrl;2030;2,10321646
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Financial data;Nominal investment (*total) [MEUR/MW_e];MEUR/MW_e;2020;J;[17, 18, 19, 20, 21, 22];ctrl;2050;2,012755537
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Financial data;Variable O&M (*total) [EUR/MWh_e];EUR/MWh_e;2020;J;[17, 18, 19, 20, 21, 22];ctrl;2015;3,335746535
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Financial data;Variable O&M (*total) [EUR/MWh_e];EUR/MWh_e;2020;J;[17, 18, 19, 20, 21, 22];ctrl;2020;3,279208458
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Financial data;Variable O&M (*total) [EUR/MWh_e];EUR/MWh_e;2020;J;[17, 18, 19, 20, 21, 22];ctrl;2030;3,211362766
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Financial data;Variable O&M (*total) [EUR/MWh_e];EUR/MWh_e;2020;J;[17, 18, 19, 20, 21, 22];ctrl;2050;3,075671382
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Regulation ability;Minimum load (of full load) [];;;;[10, 14];ctrl;2015;0,18
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Regulation ability;Minimum load (of full load) [];;;;[10, 14];ctrl;2020;0,15
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Regulation ability;Minimum load (of full load) [];;;;[10, 14];ctrl;2030;0,15
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Regulation ability;Minimum load (of full load) [];;;;[10, 14];ctrl;2050;0,1
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Regulation ability;Primary regulation (of full load, per 30 seconds) [];;;D;14;ctrl;2015;0,05
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Regulation ability;Primary regulation (of full load, per 30 seconds) [];;;D;14;ctrl;2020;0,05
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Regulation ability;Primary regulation (of full load, per 30 seconds) [];;;D;14;ctrl;2030;0,05
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Regulation ability;Primary regulation (of full load, per 30 seconds) [];;;D;14;ctrl;2050;0,05
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Regulation ability;Secondary regulation (of full load, per minute) [];;;D;14;ctrl;2015;0,04
01 Coal CHP;Coal power plant, supercritical - extraction - coal - medium;Regulation ability;Secondary regulation (of full load, per minute) [];;;D;14;ctrl;2020;0,04
