Year;Scenario;Technology;Node_Type;Value;Country;Climate_Year;Unit_Name
2030;National Trends;Battery Storage charge (load);Market;0,230964415;Sweden;CY2009;TWh
2030;National Trends;Battery Storage charge (load);Market;0,232850913;Switzerland;CY1995;TWh
2030;National Trends;Battery Storage charge (load);Market;0,232850913;Switzerland;CY2008;TWh
2030;National Trends;Battery Storage charge (load);Market;0,232850913;Switzerland;CY2009;TWh
2030;National Trends;Battery Storage charge (load);Market;8,654870186;UK;CY1995;TWh
2030;National Trends;Battery Storage charge (load);Market;8,654870186;UK;CY2008;TWh
2030;National Trends;Battery Storage charge (load);Market;8,654870186;UK;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;9,027231621;Albania;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;9,027231621;Albania;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;9,027231621;Albania;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;119,2614417;Algeria;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;119,2614417;Algeria;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;119,2614417;Algeria;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;89,59671178;Austria;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;89,59671178;Austria;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;89,59671178;Austria;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;115,3768915;Belgium;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;115,3768915;Belgium;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;115,3768915;Belgium;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;12,06483336;Bosnia and Herzegovina;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;12,06483336;Bosnia and Herzegovina;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;12,06483336;Bosnia and Herzegovina;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;36,73361314;Bulgaria;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;36,73361314;Bulgaria;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;36,73361314;Bulgaria;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;17,97887985;Croatia;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;17,97887985;Croatia;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;17,97887985;Croatia;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;6,187191377;Cyprus;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;6,187191377;Cyprus;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;6,187191377;Cyprus;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;81,52070909;Czech Republic;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;81,52070909;Czech Republic;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;81,52070909;Czech Republic;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;45,81048593;Denmark;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;45,81048593;Denmark;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;45,81048593;Denmark;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;290,7242712;Egypt;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;290,7242712;Egypt;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;290,7242712;Egypt;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;9,916763331;Estonia;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;9,916763331;Estonia;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;9,916763331;Estonia;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;111,0319899;Finland;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;111,0319899;Finland;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;111,0319899;Finland;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;524,489237;France;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;524,489237;France;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;524,489237;France;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;20,688354;Georgia;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;20,688354;Georgia;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;20,688354;Georgia;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;714,0844293;Germany;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;714,0844293;Germany;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;714,0844293;Germany;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;65,12472516;Greece;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;65,12472516;Greece;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;65,12472516;Greece;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;65,75170544;Hungary;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;65,75170544;Hungary;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;65,75170544;Hungary;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;45,1082809;Ireland;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;45,1082809;Ireland;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;45,1082809;Ireland;CY2009;TWh
