Year;Scenario;Category_Simple;Category_Detail;Value;Country;Climate_Year;Property_Name;Unit_Name
2030;National Trends;Gas;Gas CCGT;1,088002;Bulgaria;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas conventional;0,968002;Bulgaria;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas OCGT;0,02;Bulgaria;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;6,686440916;Bulgaria;CY2009;Generation;TWh
2030;National Trends;Gas;Gas conventional;0,811562448;Bulgaria;CY2009;Generation;TWh
2030;National Trends;Gas;Gas CCGT;1,088002;Bulgaria;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas conventional;0,968002;Bulgaria;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas OCGT;0,02;Bulgaria;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;1,016077756;Croatia;CY1995;Generation;TWh
2030;National Trends;Gas;Gas CCGT;0,746999;Croatia;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas conventional;0,33;Croatia;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;1,016077756;Croatia;CY2008;Generation;TWh
2030;National Trends;Gas;Gas CCGT;0,746999;Croatia;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas conventional;0,33;Croatia;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;1,016077756;Croatia;CY2009;Generation;TWh
2030;National Trends;Gas;Gas CCGT;0,746999;Croatia;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas conventional;0,33;Croatia;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;3,714376166;Cyprus;CY1995;Generation;TWh
2030;National Trends;Gas;Gas conventional;0,520102199;Cyprus;CY1995;Generation;TWh
2030;National Trends;Gas;Gas CCGT;0,8593;Cyprus;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas conventional;0,463578;Cyprus;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;3,714376166;Cyprus;CY2008;Generation;TWh
2030;National Trends;Gas;Gas conventional;0,520102199;Cyprus;CY2008;Generation;TWh
2030;National Trends;Gas;Gas CCGT;0,8593;Cyprus;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas conventional;0,463578;Cyprus;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;3,714376166;Cyprus;CY2009;Generation;TWh
2030;National Trends;Gas;Gas conventional;0,520102199;Cyprus;CY2009;Generation;TWh
2030;National Trends;Gas;Gas CCGT;0,8593;Cyprus;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas conventional;0,463578;Cyprus;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;6,607254226;Czech Republic;CY1995;Generation;TWh
2030;National Trends;Gas;Gas OCGT;0,021371582;Czech Republic;CY1995;Generation;TWh
2030;National Trends;Gas;Hydrogen FC;0,001944979;Czech Republic;CY1995;Generation;TWh
2030;National Trends;Gas;Gas CCGT;2,3564;Czech Republic;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas OCGT;0,1311;Czech Republic;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Hydrogen FC;0,0055;Czech Republic;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;6,607254226;Czech Republic;CY2008;Generation;TWh
2030;National Trends;Gas;Gas OCGT;0,021371582;Czech Republic;CY2008;Generation;TWh
2030;National Trends;Gas;Hydrogen FC;0,001944979;Czech Republic;CY2008;Generation;TWh
2030;National Trends;Gas;Gas CCGT;2,3564;Czech Republic;CY2008;Installed Capacity;GW
