timestamp,AT00_Price Band 1,BE00_Price Band 1,BE00_Price Band 2,BE00_Price Band 3,BE00_Price Band 4,BE00_Price Band 5,BE00_Price Band 6,BE00_Price Band 7,BE00_Price Band 8,DE00_Price Band 1,DE00_Price Band 2,DE00_Price Band 3,DE00_Price Band 4,DE00_Price Band 5,DE00_Price Band 6,DE00_Price Band 7,DE00_Price Band 8,DE00_Price Band 9,DE00_Price Band 10,DE00_Price Band 11,DE00_Price Band 12,DE00_Price Band 13,DE00_Price Band 14_3,DE00_Price Band 15_3,EE00_Price Band 1,ES00_Price Band 1,FI00_Price Band 1,FI00_Price Band 2,FI00_Price Band 3,FI00_Price Band 4,FI00_Price Band 5,FI00_Price Band 6,FR00_Price Band 1,FR00_Price Band 2,FR15_Price Band 1,GR00_Price Band 1,HR00_Price Band 1,IE00_Price Band 1,IE00_Price Band 2,LT00_Price Band 1,LUG1_Price Band 1,LV00_Price Band 1,LV00_Price Band 2,LV00_Price Band 3,LV00_Price Band 4,NL00_Price Band 1,NOM1_Price Band 1,NOM1_Price Band 2,NOM1_Price Band 4,NOM1_Price Band 5,NON1_Price Band 1,NON1_Price Band 2,NON1_Price Band 3,NON1_Price Band 4,NON1_Price Band 5,NOS0_Price Band 1,NOS0_Price Band 2,NOS0_Price Band 4,NOS0_Price Band 5,NOS0_Price Band 6,NOS0_Price Band 7,NOS0_Price Band 8,NOS0_Price Band 9,NOS0_Price Band 10,SE01_Price Band 1,SE01_Price Band 2,SE01_Price Band 3,SE02_Price Band 1,SE02_Price Band 2,SE02_Price Band 3,SE03_Price Band 1,SE03_Price Band 2,SE03_Price Band 3,SE04_Price Band 1,SE04_Price Band 2,SE04_Price Band 3,SI00_Price Band 1,SI00_Price Band 2,UK00_Price Band 1
2030-01-01 10:00:00,1.0,1.0,1.0,1.0,0.14000000000000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.521,0.521,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7999999999999995,1.0,1.0,1.0,1.0,1.0,0.70472710651488,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8688
2030-01-01 11:00:00,1.0,1.0,1.0,1.0,0.14000000000000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.502,0.502,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7999999999999995,1.0,1.0,1.0,1.0,1.0,0.9427652752736264,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8688
2030-01-01 12:00:00,0.0,1.0,1.0,1.0,0.14000000000000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.494,0.494,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7999999999999995,1.0,1.0,1.0,1.0,1.0,0.06317998557787044,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8688
2030-01-01 13:00:00,0.0,1.0,1.0,1.0,0.14000000000000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.491,0.49100000000000005,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7999999999999995,1.0,1.0,1.0,1.0,1.0,0.6309638191306071,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8688
2030-01-01 14:00:00,0.0,1.0,1.0,1.0,0.14000000000000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.502,0.502,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7999999999999995,1.0,1.0,1.0,1.0,1.0,0.7979864519913022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8688
2030-01-01 15:00:00,0.0,1.0,1.0,1.0,0.14000000000000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.52,0.52,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7999999999999995,1.0,1.0,1.0,1.0,1.0,0.07156922563927375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8688
2030-01-01 16:00:00,1.0,1.0,1.0,1.0,0.14000000000000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.54,0.54,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7999999999999995,1.0,1.0,1.0,1.0,1.0,0.43891143245756625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8688
2030-01-01 17:00:00,1.0,1.0,1.0,1.0,0.14000000000000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.549,0.549,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7999999999999995,1.0,1.0,1.0,1.0,1.0,0.6238486390658035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8688
2030-01-01 18:00:00,1.0,1.0,1.0,1.0,0.14000000000000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.546,0.546,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7999999999999995,1.0,1.0,1.0,1.0,1.0,0.266052523757412,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8688
2030-01-01 19:00:00,1.0,1.0,1.0,1.0,0.14000000000000004,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.537,0.537,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7999999999999995,1.0,1.0,1.0,1.0,1.0,0.4789134158542012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8688
