,AL00,AT00,BA00,BE00,BG00,CH00,CY00,CZ00,DE00,DKE1,DKW1,EE00,ES00,FI00,FR00,FR15,GB00,GBNI,GR00,GR03,HR00,HU00,IE00,ITCA,ITCN,ITCS,ITN1,ITS1,ITSA,ITSI,LT00,LUB1,LUF1,LUG1,LUV1,LV00,ME00,MK00,MT00,NL00,NOM1,NON1,NOS0,PL00,PT00,RO00,RS00,SE01,SE02,SE03,SE04,SI00,SK00,ITCO,ITVI
2009-01-01 00:00:00,0.0,474.41941449420045,39.89085728444003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6819577954406273,0.0,192.61020728937228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.88107471633484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.34922029880032,0.0,0.0,0.0,0.0,0.0,0.0,304.34213845309677,45.095479024562124,0.0,0.0
2009-01-01 01:00:00,0.0,474.41941449420045,39.89085728444003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6819577954406273,0.0,192.61020728937228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.88107471633484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.34922029880032,0.0,0.0,0.0,0.0,0.0,0.0,304.34213845309677,45.095479024562124,0.0,0.0
2009-01-01 02:00:00,0.0,474.41941449420045,39.89085728444003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6819577954406273,0.0,192.61020728937228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.88107471633484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.34922029880032,0.0,0.0,0.0,0.0,0.0,0.0,304.34213845309677,45.095479024562124,0.0,0.0
2009-01-01 03:00:00,0.0,474.41941449420045,39.89085728444003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6819577954406273,0.0,192.61020728937228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.88107471633484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.34922029880032,0.0,0.0,0.0,0.0,0.0,0.0,304.34213845309677,45.095479024562124,0.0,0.0
2009-01-01 04:00:00,0.0,474.41941449420045,39.89085728444003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6819577954406273,0.0,192.61020728937228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.88107471633484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.34922029880032,0.0,0.0,0.0,0.0,0.0,0.0,304.34213845309677,45.095479024562124,0.0,0.0
2009-01-01 05:00:00,0.0,474.41941449420045,39.89085728444003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6819577954406273,0.0,192.61020728937228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.88107471633484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.34922029880032,0.0,0.0,0.0,0.0,0.0,0.0,304.34213845309677,45.095479024562124,0.0,0.0
2009-01-01 06:00:00,0.0,474.41941449420045,39.89085728444003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6819577954406273,0.0,192.61020728937228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.88107471633484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.34922029880032,0.0,0.0,0.0,0.0,0.0,0.0,304.34213845309677,45.095479024562124,0.0,0.0
2009-01-01 07:00:00,0.0,474.41941449420045,39.89085728444003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6819577954406273,0.0,192.61020728937228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.88107471633484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.34922029880032,0.0,0.0,0.0,0.0,0.0,0.0,304.34213845309677,45.095479024562124,0.0,0.0
2009-01-01 08:00:00,0.0,474.41941449420045,39.89085728444003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6819577954406273,0.0,192.61020728937228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.88107471633484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.34922029880032,0.0,0.0,0.0,0.0,0.0,0.0,304.34213845309677,45.095479024562124,0.0,0.0
2009-01-01 09:00:00,0.0,474.41941449420045,39.89085728444003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6819577954406273,0.0,192.61020728937228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.88107471633484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.34922029880032,0.0,0.0,0.0,0.0,0.0,0.0,304.34213845309677,45.095479024562124,0.0,0.0
