bus_id,station_id,voltage,dc,symbol,under_construction,tags,x,y,country,geometry
AL00,AL00,380,,Substation,f,AL00,20.036883988642362,41.117587702511265,AL,POINT (20.036883988642362 41.117587702511265)
AT00,AT00,380,,Substation,f,AT00,14.822183225330722,47.66889815500067,AT,POINT (14.822183225330722 47.66889815500067)
BA00,BA00,380,,Substation,f,BA00,17.867837381251395,43.98201574415204,BA,POINT (17.867837381251395 43.98201574415204)
BE00,BE00,380,,Substation,f,BE00,4.96793113501169,50.47063494467691,BE,POINT (4.96793113501169 50.47063494467691)
BG00,BG00,380,,Substation,f,BG00,25.323948321769798,42.66875960983357,BG,POINT (25.323948321769798 42.66875960983357)
CH00,CH00,380,,Substation,f,CH00,8.416155547862315,46.797090406754855,CH,POINT (8.416155547862315 46.797090406754855)
CY00,CY00,380,,Substation,f,CY00,33.00894727583923,34.944962529193454,CY,POINT (33.00894727583923 34.944962529193454)
CZ00,CZ00,380,,Substation,f,CZ00,15.66368315845627,49.752662484669656,CZ,POINT (15.66368315845627 49.752662484669656)
DE00,DE00,380,,Substation,f,DE00,10.11340015140031,51.10991486311772,DE,POINT (10.11340015140031 51.10991486311772)
DKE1,DKE1,380,,Substation,f,DKE1,11.78540641787436,55.319110125986754,DK,POINT (11.78540641787436 55.319110125986754)
DKW1,DKW1,380,,Substation,f,DKW1,9.231846810338668,56.25589129896813,DK,POINT (9.231846810338668 56.25589129896813)
EE00,EE00,380,,Substation,f,EE00,25.482370888474648,58.72805946009988,EE,POINT (25.482370888474648 58.72805946009988)
ES00,ES00,380,,Substation,f,ES00,-3.069317498600462,40.48664108949666,ES,POINT (-3.069317498600462 40.48664108949666)
FI00,FI00,380,,Substation,f,FI00,27.765534085777407,64.65412490633571,FI,POINT (27.765534085777407 64.65412490633571)
FR00,FR00,380,,Substation,f,FR00,2.5531561680612014,46.661234529363774,FR,POINT (2.5531561680612014 46.661234529363774)
FR15,FR15,380,,Substation,f,FR15,9.08481413412251,42.1620440291383,FR,POINT (9.08481413412251 42.1620440291383)
GB00,GB00,380,,Substation,f,GB00,-2.37991519288217,54.57429734494409,GB,POINT (-2.37991519288217 54.57429734494409)
GBNI,GBNI,380,,Substation,f,GBNI,-6.84113264503611,54.53297893698612,GB,POINT (-6.84113264503611 54.53297893698612)
GR00,GR00,380,,Substation,f,GR00,21.529612363362705,39.48616951026592,GR,POINT (21.529612363362705 39.48616951026592)
GR03,GR03,380,,Substation,f,GR03,24.870955600140398,35.248359663342555,GR,POINT (24.870955600140398 35.248359663342555)
HR00,HR00,380,,Substation,f,HR00,15.328558588707311,44.87715536673345,HR,POINT (15.328558588707311 44.87715536673345)
HU00,HU00,380,,Substation,f,HU00,19.07785532036663,47.21439242207342,HU,POINT (19.07785532036663 47.21439242207342)
IE00,IE00,380,,Substation,f,IE00,-7.761369198076182,53.48929977118493,IE,POINT (-7.761369198076182 53.48929977118493)
ITCA,ITCA,380,,Substation,f,ITCA,16.63489178531694,38.98588452308853,IT,POINT (16.63489178531694 38.98588452308853)
ITCN,ITCN,380,,Substation,f,ITCN,11.238605314099033,43.418038709137846,IT,POINT (11.238605314099033 43.418038709137846)
ITCS,ITCS,380,,Substation,f,ITCS,13.162117286238232,41.846461058064115,IT,POINT (13.162117286238232 41.846461058064115)
ITN1,ITN1,380,,Substation,f,ITN1,9.703872107321653,45.440276039583814,IT,POINT (9.703872107321653 45.440276039583814)
ITS1,ITS1,380,,Substation,f,ITS1,16.501565091482913,40.92742166159263,IT,POINT (16.501565091482913 40.92742166159263)
ITSA,ITSA,380,,Substation,f,ITSA,9.097370828691671,40.06762550551241,IT,POINT (9.097370828691671 40.06762550551241)
ITSI,ITSI,380,,Substation,f,ITSI,13.863833035110499,37.54681112728547,IT,POINT (13.863833035110499 37.54681112728547)
LT00,LT00,380,,Substation,f,LT00,23.61258634167173,55.19969671519252,LT,POINT (23.61258634167173 55.19969671519252)
LUB1,LUB1,380,,Substation,f,LUB1,6.060078314929736,49.831245410072725,LU,POINT (6.060078314929736 49.831245410072725)
LUF1,LUF1,380,,Substation,f,LUF1,6.060078314929736,49.831245410072725,LU,POINT (6.060078314929736 49.831245410072725)
LUG1,LUG1,380,,Substation,f,LUG1,6.060078314929736,49.831245410072725,LU,POINT (6.060078314929736 49.831245410072725)
LUV1,LUV1,380,,Substation,f,LUV1,6.060078314929736,49.831245410072725,LU,POINT (6.060078314929736 49.831245410072725)
LV00,LV00,380,,Substation,f,LV00,26.022833314662595,56.748759855423025,LV,POINT (26.022833314662595 56.748759855423025)
ME00,ME00,380,,Substation,f,ME00,19.082581244926107,42.67587451024281,ME,POINT (19.082581244926107 42.67587451024281)
MK00,MK00,380,,Substation,f,MK00,21.73596299130559,41.612799248609235,MK,POINT (21.73596299130559 41.612799248609235)
MT00,MT00,380,,Substation,f,MT00,14.449111076294427,35.876192914932375,MT,POINT (14.449111076294427 35.876192914932375)
NL00,NL00,380,,Substation,f,NL00,5.506506419176196,52.08908232001923,NL,POINT (5.506506419176196 52.08908232001923)
NOM1,NOM1,380,,Substation,f,NOM1,10.30408059155546,62.978763588455635,NO,POINT (10.30408059155546 62.978763588455635)
NON1,NON1,380,,Substation,f,NON1,15.915567665810894,67.86937126522933,NO,POINT (15.915567665810894 67.86937126522933)
NOS0,NOS0,380,,Substation,f,NOS0,9.57699815953031,60.34827156120505,NO,POINT (9.57699815953031 60.34827156120505)
PL00,PL00,380,,Substation,f,PL00,19.12839483240633,52.055838748018296,PL,POINT (19.12839483240633 52.055838748018296)
PT00,PT00,380,,Substation,f,PT00,-8.422153840455154,39.48279721857488,PT,POINT (-8.422153840455154 39.48279721857488)
RO00,RO00,380,,Substation,f,RO00,24.750474823757145,46.08897119764826,RO,POINT (24.750474823757145 46.08897119764826)
RS00,RS00,380,,Substation,f,RS00,20.844931029154555,44.22438574020019,RS,POINT (20.844931029154555 44.22438574020019)
SE01,SE01,380,,Substation,f,SE01,19.80026614441185,66.59129777955059,SE,POINT (19.80026614441185 66.59129777955059)
SE02,SE02,380,,Substation,f,SE02,15.764350524699514,63.554876748638755,SE,POINT (15.764350524699514 63.554876748638755)
SE03,SE03,380,,Substation,f,SE03,15.019333893050288,59.60245880563486,SE,POINT (15.019333893050288 59.60245880563486)
SE04,SE04,380,,Substation,f,SE04,14.486207331708309,56.447228329921465,SE,POINT (14.486207331708309 56.447228329921465)
SI00,SI00,380,,Substation,f,SI00,14.592048101522531,46.168654970248674,SI,POINT (14.592048101522531 46.168654970248674)
SK00,SK00,380,,Substation,f,SK00,18.778426368090923,48.64514405218487,SK,POINT (18.778426368090923 48.64514405218487)
ITCO,ITCO,380,,Substation,f,ITCO,9.08481413412251,42.1620440291383,IT,POINT (9.08481413412251 42.1620440291383)
ITVI,ITVI,380,,Substation,f,ITVI,13.863833035110499,37.54681112728547,IT,POINT (13.863833035110499 37.54681112728547)
