carrier,index_carrier,bus,p_nom,e_nom,efficiency,country,unit,open_tyndp_type
hydro-ror,hydro-ror-turbine,AT00,5228.625759999998,0.0,1.0,AT,MW,hydro-ror-turbine
hydro-pondage,hydro-pondage-reservoir,AT00,0.0,5.332957,1.0,AT,GWh,hydro-pondage-reservoir
hydro-pondage,hydro-pondage-turbine,AT00,1149.307,0.0,1.0,AT,MW,hydro-pondage-turbine
hydro-reservoir,hydro-reservoir-reservoir,AT00,0.0,769.0365679999999,1.0,AT,GWh,hydro-reservoir-reservoir
hydro-reservoir,hydro-reservoir-turbine,AT00,2787.128999999999,0.0,1.0,AT,MW,hydro-reservoir-turbine
hydro-phs,hydro-phs-reservoir,AT00,0.0,1746.653,1.0,AT,GWh,hydro-phs-reservoir
hydro-phs,hydro-phs-turbine,AT00,5607.5,0.0,1.0,AT,MW,hydro-phs-turbine
hydro-phs,hydro-phs-pump,AT00,-5532.919999999999,0.0,1.0,AT,MW,hydro-phs-pump
hydro-phs-pure,hydro-phs-pure-reservoir,AT00,0.0,3.6,1.0,AT,GWh,hydro-phs-pure-reservoir
hydro-phs-pure,hydro-phs-pure-turbine,AT00,450,0.0,1.0,AT,MW,hydro-phs-pure-turbine
hydro-phs-pure,hydro-phs-pure-pump,AT00,-450,0.0,1.0,AT,MW,hydro-phs-pure-pump
other-res,other-res,AT00,760.6445554814278,0.0,1.0,AT,MW,other-res
uranium,nuclear,BA00,0.0,0.0,1.0,BA,MW,nuclear
coal,coal-old1,BA00,0.0,0.0,1.0,BA,MW,coal
coal,coal-old2,BA00,0.0,0.0,1.0,BA,MW,coal
coal,coal-new,BA00,0.0,0.0,1.0,BA,MW,coal
coal,coal-ccs,BA00,0.0,0.0,1.0,BA,MW,coal-ccs
lignite,lignite-old1,BA00,1063.0,0.0,1.0,BA,MW,lignite
lignite,lignite-old2,BA00,275.0,0.0,1.0,BA,MW,lignite
lignite,lignite-new,BA00,410.0,0.0,1.0,BA,MW,lignite
lignite,lignite-ccs,BA00,0.0,0.0,1.0,BA,MW,lignite-ccs
gas,gas-conv-old1,BA00,0.0,0.0,1.0,BA,MW,gas-conv
gas,gas-conv-old2,BA00,0.0,0.0,1.0,BA,MW,gas-conv
gas,gas-ccgt-old1,BA00,0.0,0.0,1.0,BA,MW,gas-ccgt
gas,gas-ccgt-old2,BA00,0.0,0.0,1.0,BA,MW,gas-ccgt
gas,gas-ccgt-new,BA00,0.0,0.0,1.0,BA,MW,gas-ccgt
gas,gas-ccgt-ccs,BA00,0.0,0.0,1.0,BA,MW,gas-ccgt-ccs
gas,gas-ocgt-old,BA00,0.0,0.0,1.0,BA,MW,gas-ocgt
gas,gas-ocgt-new,BA00,0.0,0.0,1.0,BA,MW,gas-ocgt
oil-light,oil-light,BA00,0.0,0.0,1.0,BA,MW,oil-light
oil-heavy,oil-heavy-old1,BA00,0.0,0.0,1.0,BA,MW,oil-heavy
oil-heavy,oil-heavy-old2,BA00,0.0,0.0,1.0,BA,MW,oil-heavy
oil-shale,oil-shale-old,BA00,0.0,0.0,1.0,BA,MW,oil-shale
oil-shale,oil-shale-new,BA00,0.0,0.0,1.0,BA,MW,oil-shale
gas,gas-ccgt-present1,BA00,0.0,0.0,1.0,BA,MW,gas-ccgt
gas,gas-ccgt-present2,BA00,0.0,0.0,1.0,BA,MW,gas-ccgt
h2-fuel-cell,h2-fuel-cell,BA00,0.0,0.0,1.0,BA,MW,h2-fuel-cell
h2-ccgt,h2-ccgt,BA00,0.0,0.0,1.0,BA,MW,h2-ccgt
battery,battery-charge,BA00,0,0.0,0.0,BA,MW,battery-charge
battery,battery-discharge,BA00,0,0.0,0.0,BA,MW,battery-discharge
battery,battery-store,BA00,0.0,0,0.0,BA,MWh,battery-store
hydro-ror,hydro-ror-turbine,BA00,40.8,0.0,1.0,BA,MW,hydro-ror-turbine
hydro-pondage,hydro-pondage-reservoir,BA00,0.0,1.33,1.0,BA,GWh,hydro-pondage-reservoir
hydro-pondage,hydro-pondage-turbine,BA00,108.6,0.0,1.0,BA,MW,hydro-pondage-turbine
hydro-reservoir,hydro-reservoir-reservoir,BA00,0.0,1795.91,1.0,BA,GWh,hydro-reservoir-reservoir
hydro-reservoir,hydro-reservoir-turbine,BA00,1906,0.0,1.0,BA,MW,hydro-reservoir-turbine
hydro-phs,hydro-phs-reservoir,BA00,0.0,3.43,1.0,BA,GWh,hydro-phs-reservoir
hydro-phs,hydro-phs-turbine,BA00,440,0.0,1.0,BA,MW,hydro-phs-turbine
hydro-phs,hydro-phs-pump,BA00,-440,0.0,1.0,BA,MW,hydro-phs-pump
hydro-phs-pure,hydro-phs-pure-reservoir,BA00,0.0,0,1.0,BA,GWh,hydro-phs-pure-reservoir
hydro-phs-pure,hydro-phs-pure-turbine,BA00,0,0.0,1.0,BA,MW,hydro-phs-pure-turbine
hydro-phs-pure,hydro-phs-pure-pump,BA00,0,0.0,1.0,BA,MW,hydro-phs-pure-pump
other-res,other-res,BA00,0,0.0,1.0,BA,MW,other-res
uranium,nuclear,BE00,2077.0,0.0,1.0,BE,MW,nuclear
coal,coal-old1,BE00,0.0,0.0,1.0,BE,MW,coal
coal,coal-old2,BE00,354.4,0.0,1.0,BE,MW,coal
coal,coal-new,BE00,0.0,0.0,1.0,BE,MW,coal
coal,coal-ccs,BE00,0.0,0.0,1.0,BE,MW,coal-ccs
lignite,lignite-old1,BE00,0.0,0.0,1.0,BE,MW,lignite
lignite,lignite-old2,BE00,0.0,0.0,1.0,BE,MW,lignite
lignite,lignite-new,BE00,0.0,0.0,1.0,BE,MW,lignite
lignite,lignite-ccs,BE00,0.0,0.0,1.0,BE,MW,lignite-ccs
gas,gas-conv-old1,BE00,0.0,0.0,1.0,BE,MW,gas-conv
gas,gas-conv-old2,BE00,871.0,0.0,1.0,BE,MW,gas-conv
gas,gas-ccgt-old1,BE00,0.0,0.0,1.0,BE,MW,gas-ccgt
gas,gas-ccgt-old2,BE00,0.0,0.0,1.0,BE,MW,gas-ccgt
gas,gas-ccgt-new,BE00,1775.0,0.0,1.0,BE,MW,gas-ccgt
gas,gas-ccgt-ccs,BE00,0.0,0.0,1.0,BE,MW,gas-ccgt-ccs
gas,gas-ocgt-old,BE00,0.0,0.0,1.0,BE,MW,gas-ocgt
gas,gas-ocgt-new,BE00,244.0,0.0,1.0,BE,MW,gas-ocgt
oil-light,oil-light,BE00,0.0,0.0,1.0,BE,MW,oil-light
oil-heavy,oil-heavy-old1,BE00,140.0,0.0,1.0,BE,MW,oil-heavy
oil-heavy,oil-heavy-old2,BE00,0.0,0.0,1.0,BE,MW,oil-heavy
oil-shale,oil-shale-old,BE00,0.0,0.0,1.0,BE,MW,oil-shale
oil-shale,oil-shale-new,BE00,0.0,0.0,1.0,BE,MW,oil-shale
gas,gas-ccgt-present1,BE00,0.0,0.0,1.0,BE,MW,gas-ccgt
gas,gas-ccgt-present2,BE00,1732.1,0.0,1.0,BE,MW,gas-ccgt
h2-fuel-cell,h2-fuel-cell,BE00,0.0,0.0,1.0,BE,MW,h2-fuel-cell
h2-ccgt,h2-ccgt,BE00,0.0,0.0,1.0,BE,MW,h2-ccgt
battery,battery-charge,BE00,594.3584,0.0,0.9199999999999998,BE,MW,battery-charge
battery,battery-discharge,BE00,594.3584,0.0,0.9199999999999998,BE,MW,battery-discharge
battery,battery-store,BE00,0.0,2046.290754392523,0.9199999999999998,BE,MWh,battery-store
chp,chp-gas-conventional-old-2-industrial-0eur,BE00,1594.0,0.0,0.41,BE,MW,
dsr,dsr-1h-1000.0eur,BE00,131.0,0.0,1.0,BE,MW,
dsr,dsr-24h-1000.0eur,BE00,53.80000000000003,0.0,1.0,BE,MW,
dsr,dsr-24h-178.0eur,BE00,202.6516582352274,0.0,1.0,BE,MW,
dsr,dsr-24h-300.0eur,BE00,193.0,0.0,1.0,BE,MW,
dsr,dsr-24h-67.0eur,BE00,620.3849346390525,0.0,1.0,BE,MW,
dsr,dsr-2h-2000.0eur,BE00,454.0,0.0,1.0,BE,MW,
dsr,dsr-4h-1500.0eur,BE00,634.0,0.0,1.0,BE,MW,
dsr,dsr-8h-500.0eur,BE00,540.8240280783971,0.0,1.0,BE,MW,
hydro-ror,hydro-ror-turbine,BE00,148.2020000000001,0.0,1.0,BE,MW,hydro-ror-turbine
hydro-pondage,hydro-pondage-reservoir,BE00,0.0,0,1.0,BE,GWh,hydro-pondage-reservoir
hydro-pondage,hydro-pondage-turbine,BE00,0,0.0,1.0,BE,MW,hydro-pondage-turbine
hydro-reservoir,hydro-reservoir-reservoir,BE00,0.0,0,1.0,BE,GWh,hydro-reservoir-reservoir
hydro-reservoir,hydro-reservoir-turbine,BE00,0,0.0,1.0,BE,MW,hydro-reservoir-turbine
hydro-phs,hydro-phs-reservoir,BE00,0.0,0,1.0,BE,GWh,hydro-phs-reservoir
hydro-phs,hydro-phs-turbine,BE00,0,0.0,1.0,BE,MW,hydro-phs-turbine
hydro-phs,hydro-phs-pump,BE00,0,0.0,1.0,BE,MW,hydro-phs-pump
hydro-phs-pure,hydro-phs-pure-reservoir,BE00,0.0,11.6,1.0,BE,GWh,hydro-phs-pure-reservoir
hydro-phs-pure,hydro-phs-pure-turbine,BE00,1305,0.0,1.0,BE,MW,hydro-phs-pure-turbine
hydro-phs-pure,hydro-phs-pure-pump,BE00,-1226.76,0.0,1.0,BE,MW,hydro-phs-pure-pump
other-res,other-res,BE00,614.625,0.0,1.0,BE,MW,other-res
uranium,nuclear,BEOF,,0.0,1.0,BE,MW,nuclear
coal,coal-old1,BEOF,,0.0,1.0,BE,MW,coal
coal,coal-old2,BEOF,,0.0,1.0,BE,MW,coal
coal,coal-new,BEOF,,0.0,1.0,BE,MW,coal
coal,coal-ccs,BEOF,,0.0,1.0,BE,MW,coal-ccs
lignite,lignite-old1,BEOF,,0.0,1.0,BE,MW,lignite
lignite,lignite-old2,BEOF,,0.0,1.0,BE,MW,lignite
lignite,lignite-new,BEOF,,0.0,1.0,BE,MW,lignite
lignite,lignite-ccs,BEOF,,0.0,1.0,BE,MW,lignite-ccs
gas,gas-conv-old1,BEOF,,0.0,1.0,BE,MW,gas-conv
gas,gas-conv-old2,BEOF,,0.0,1.0,BE,MW,gas-conv
gas,gas-ccgt-old1,BEOF,,0.0,1.0,BE,MW,gas-ccgt
gas,gas-ccgt-old2,BEOF,,0.0,1.0,BE,MW,gas-ccgt
gas,gas-ccgt-new,BEOF,,0.0,1.0,BE,MW,gas-ccgt
gas,gas-ccgt-ccs,BEOF,,0.0,1.0,BE,MW,gas-ccgt-ccs
gas,gas-ocgt-old,BEOF,,0.0,1.0,BE,MW,gas-ocgt
gas,gas-ocgt-new,BEOF,,0.0,1.0,BE,MW,gas-ocgt
oil-light,oil-light,BEOF,,0.0,1.0,BE,MW,oil-light
oil-heavy,oil-heavy-old1,BEOF,,0.0,1.0,BE,MW,oil-heavy
oil-heavy,oil-heavy-old2,BEOF,,0.0,1.0,BE,MW,oil-heavy
oil-shale,oil-shale-old,BEOF,,0.0,1.0,BE,MW,oil-shale
oil-shale,oil-shale-new,BEOF,,0.0,1.0,BE,MW,oil-shale
gas,gas-ccgt-present1,BEOF,,0.0,1.0,BE,MW,gas-ccgt
gas,gas-ccgt-present2,BEOF,,0.0,1.0,BE,MW,gas-ccgt
h2-fuel-cell,h2-fuel-cell,BEOF,,0.0,1.0,BE,MW,h2-fuel-cell
h2-ccgt,h2-ccgt,BEOF,,0.0,1.0,BE,MW,h2-ccgt
hydro-ror,hydro-ror-turbine,BEOF,0,0.0,1.0,BE,MW,hydro-ror-turbine
hydro-pondage,hydro-pondage-reservoir,BEOF,0.0,0,1.0,BE,GWh,hydro-pondage-reservoir
hydro-pondage,hydro-pondage-turbine,BEOF,0,0.0,1.0,BE,MW,hydro-pondage-turbine
hydro-reservoir,hydro-reservoir-reservoir,BEOF,0.0,0,1.0,BE,GWh,hydro-reservoir-reservoir
hydro-reservoir,hydro-reservoir-turbine,BEOF,0,0.0,1.0,BE,MW,hydro-reservoir-turbine
hydro-phs,hydro-phs-reservoir,BEOF,0.0,0,1.0,BE,GWh,hydro-phs-reservoir
hydro-phs,hydro-phs-turbine,BEOF,0,0.0,1.0,BE,MW,hydro-phs-turbine
hydro-phs,hydro-phs-pump,BEOF,0,0.0,1.0,BE,MW,hydro-phs-pump
hydro-phs-pure,hydro-phs-pure-reservoir,BEOF,0.0,0,1.0,BE,GWh,hydro-phs-pure-reservoir
hydro-phs-pure,hydro-phs-pure-turbine,BEOF,0,0.0,1.0,BE,MW,hydro-phs-pure-turbine
hydro-phs-pure,hydro-phs-pure-pump,BEOF,0,0.0,1.0,BE,MW,hydro-phs-pure-pump
other-res,other-res,BEOF,0,0.0,1.0,BE,MW,other-res
uranium,nuclear,BG00,2000.0,0.0,1.0,BG,MW,nuclear
coal,coal-old1,BG00,0.0,0.0,1.0,BG,MW,coal
coal,coal-old2,BG00,0.0,0.0,1.0,BG,MW,coal
coal,coal-new,BG00,0.0,0.0,1.0,BG,MW,coal
coal,coal-ccs,BG00,0.0,0.0,1.0,BG,MW,coal-ccs
lignite,lignite-old1,BG00,1904.0,0.0,1.0,BG,MW,lignite
lignite,lignite-old2,BG00,600.0,0.0,1.0,BG,MW,lignite
lignite,lignite-new,BG00,0.0,0.0,1.0,BG,MW,lignite
lignite,lignite-ccs,BG00,0.0,0.0,1.0,BG,MW,lignite-ccs
gas,gas-conv-old1,BG00,968.0,0.0,1.0,BG,MW,gas-conv
gas,gas-conv-old2,BG00,0.0,0.0,1.0,BG,MW,gas-conv
gas,gas-ccgt-old1,BG00,0.0,0.0,1.0,BG,MW,gas-ccgt
gas,gas-ccgt-old2,BG00,0.0,0.0,1.0,BG,MW,gas-ccgt
gas,gas-ccgt-new,BG00,991.0,0.0,1.0,BG,MW,gas-ccgt
gas,gas-ccgt-ccs,BG00,0.0,0.0,1.0,BG,MW,gas-ccgt-ccs
gas,gas-ocgt-old,BG00,0.0,0.0,1.0,BG,MW,gas-ocgt
gas,gas-ocgt-new,BG00,20.0,0.0,1.0,BG,MW,gas-ocgt
oil-light,oil-light,BG00,0.0,0.0,1.0,BG,MW,oil-light
oil-heavy,oil-heavy-old1,BG00,0.0,0.0,1.0,BG,MW,oil-heavy
oil-heavy,oil-heavy-old2,BG00,0.0,0.0,1.0,BG,MW,oil-heavy
oil-shale,oil-shale-old,BG00,0.0,0.0,1.0,BG,MW,oil-shale
oil-shale,oil-shale-new,BG00,0.0,0.0,1.0,BG,MW,oil-shale
gas,gas-ccgt-present1,BG00,0.0,0.0,1.0,BG,MW,gas-ccgt
gas,gas-ccgt-present2,BG00,97.0,0.0,1.0,BG,MW,gas-ccgt
h2-fuel-cell,h2-fuel-cell,BG00,0.0,0.0,1.0,BG,MW,h2-fuel-cell
h2-ccgt,h2-ccgt,BG00,0.0,0.0,1.0,BG,MW,h2-ccgt
battery,battery-charge,BG00,1500,0.0,0.92,BG,MW,battery-charge
battery,battery-discharge,BG00,1600,0.0,0.92,BG,MW,battery-discharge
battery,battery-store,BG00,0.0,6000,0.92,BG,MWh,battery-store
hydro-ror,hydro-ror-turbine,BG00,535.51,0.0,1.0,BG,MW,hydro-ror-turbine
hydro-pondage,hydro-pondage-reservoir,BG00,0.0,0,1.0,BG,GWh,hydro-pondage-reservoir
hydro-pondage,hydro-pondage-turbine,BG00,0,0.0,1.0,BG,MW,hydro-pondage-turbine
