link_id,bus0,bus1,voltage,p_nom,length,underground,under_construction,tags,geometry
DE00-CH00-DC,DE00,CH00,380,4400,495253.46790453326,t,f,DE00 -> CH00,'LINESTRING (10.11340015140031 51.10991486311772, 8.416155547862315 46.797090406754855)'
DE00-CZ00-DC,DE00,CZ00,380,2500,422050.83277755324,t,f,DE00 -> CZ00,'LINESTRING (10.11340015140031 51.10991486311772, 15.66368315845627 49.752662484669656)'
DE00-DKE1-DC,DE00,DKE1,380,600,481465.81789142743,t,f,DE00 -> DKE1,'LINESTRING (10.11340015140031 51.10991486311772, 11.78540641787436 55.319110125986754)'
DE00-DKW1-DC,DE00,DKW1,380,3500,575552.3099737505,t,f,DE00 -> DKW1,'LINESTRING (10.11340015140031 51.10991486311772, 9.231846810338668 56.25589129896813)'
DE00-FR00-DC,DE00,FR00,380,4800,741926.3318045092,t,f,DE00 -> FR00,'LINESTRING (10.11340015140031 51.10991486311772, 2.5531561680612014 46.661234529363774)'
DE00-GB00-DC,DE00,GB00,380,1400,923519.9562596382,t,f,DE00 -> GB00,'LINESTRING (10.11340015140031 51.10991486311772, -2.37991519288217 54.57429734494409)'
DE00-LUG1-DC,DE00,LUG1,380,2400,320895.19070010784,t,f,DE00 -> LUG1,'LINESTRING (10.11340015140031 51.10991486311772, 6.060078314929736 49.831245410072725)'
DE00-LUV1-DC,DE00,LUV1,380,1300,320895.19070010784,t,f,DE00 -> LUV1,'LINESTRING (10.11340015140031 51.10991486311772, 6.060078314929736 49.831245410072725)'
DE00-NL00-DC,DE00,NL00,380,5000,337189.82773703866,t,f,DE00 -> NL00,'LINESTRING (10.11340015140031 51.10991486311772, 5.506506419176196 52.08908232001923)'
DE00-NOS0-DC,DE00,NOS0,380,1400,1028207.8256905646,t,f,DE00 -> NOS0,'LINESTRING (10.11340015140031 51.10991486311772, 9.57699815953031 60.34827156120505)'
DE00-PL00-DC,DE00,PL00,380,2000,632999.4622361826,t,f,DE00 -> PL00,'LINESTRING (10.11340015140031 51.10991486311772, 19.12839483240633 52.055838748018296)'
DE00-SE04-DC,DE00,SE04,380,1315,659759.7122553386,t,f,DE00 -> SE04,'LINESTRING (10.11340015140031 51.10991486311772, 14.486207331708309 56.447228329921465)'
DKE1-DE00-DC,DKE1,DE00,380,600,481465.81789142743,t,f,DKE1 -> DE00,'LINESTRING (11.78540641787436 55.319110125986754, 10.11340015140031 51.10991486311772)'
DKE1-DKW1-DC,DKE1,DKW1,380,600,191202.423925846,t,f,DKE1 -> DKW1,'LINESTRING (11.78540641787436 55.319110125986754, 9.231846810338668 56.25589129896813)'
DKE1-PL00-DC,DKE1,PL00,380,0,605672.5028376761,t,f,DKE1 -> PL00,'LINESTRING (11.78540641787436 55.319110125986754, 19.12839483240633 52.055838748018296)'
DKE1-SE04-DC,DKE1,SE04,380,1700,210460.55528412573,t,f,DKE1 -> SE04,'LINESTRING (11.78540641787436 55.319110125986754, 14.486207331708309 56.447228329921465)'
DKW1-DE00-DC,DKW1,DE00,380,3500,575552.3099737505,t,f,DKW1 -> DE00,'LINESTRING (9.231846810338668 56.25589129896813, 10.11340015140031 51.10991486311772)'
DKW1-DKE1-DC,DKW1,DKE1,380,590,191202.423925846,t,f,DKW1 -> DKE1,'LINESTRING (9.231846810338668 56.25589129896813, 11.78540641787436 55.319110125986754)'
DKW1-GB00-DC,DKW1,GB00,380,1400,758031.4959202957,t,f,DKW1 -> GB00,'LINESTRING (9.231846810338668 56.25589129896813, -2.37991519288217 54.57429734494409)'
DKW1-NL00-DC,DKW1,NL00,380,700,523613.97041724296,t,f,DKW1 -> NL00,'LINESTRING (9.231846810338668 56.25589129896813, 5.506506419176196 52.08908232001923)'
DKW1-NOS0-DC,DKW1,NOS0,380,1632,455512.35279679747,t,f,DKW1 -> NOS0,'LINESTRING (9.231846810338668 56.25589129896813, 9.57699815953031 60.34827156120505)'
DKW1-SE03-DC,DKW1,SE03,380,715,505724.953532446,t,f,DKW1 -> SE03,'LINESTRING (9.231846810338668 56.25589129896813, 15.019333893050288 59.60245880563486)'
EE00-FI00-DC,EE00,FI00,380,1016,670293.1286341811,t,f,EE00 -> FI00,'LINESTRING (25.482370888474648 58.72805946009988, 27.765534085777407 64.65412490633571)'
EE00-LV00-DC,EE00,LV00,380,950,223577.80181842486,t,f,EE00 -> LV00,'LINESTRING (25.482370888474648 58.72805946009988, 26.022833314662595 56.748759855423025)'
ES00-FR00-DC,ES00,FR00,380,5000,818531.6100314459,t,f,ES00 -> FR00,'LINESTRING (-3.069317498600462 40.48664108949666, 2.5531561680612014 46.661234529363774)'
ES00-PT00-DC,ES00,PT00,380,4200,469515.81705795013,t,f,ES00 -> PT00,'LINESTRING (-3.069317498600462 40.48664108949666, -8.422153840455154 39.48279721857488)'
FI00-EE00-DC,FI00,EE00,380,1016,670293.1286341811,t,f,FI00 -> EE00,'LINESTRING (27.765534085777407 64.65412490633571, 25.482370888474648 58.72805946009988)'
FI00-NON1-DC,FI00,NON1,380,0,646346.1364686623,t,f,FI00 -> NON1,'LINESTRING (27.765534085777407 64.65412490633571, 15.915567665810894 67.86937126522933)'
FI00-SE01-DC,FI00,SE01,380,2000,429330.93362766504,t,f,FI00 -> SE01,'LINESTRING (27.765534085777407 64.65412490633571, 19.80026614441185 66.59129777955059)'
FI00-SE02-DC,FI00,SE02,380,0,597004.7146889459,t,f,FI00 -> SE02,'LINESTRING (27.765534085777407 64.65412490633571, 15.764350524699514 63.554876748638755)'
FI00-SE03-DC,FI00,SE03,380,1200,864337.4688220774,t,f,FI00 -> SE03,'LINESTRING (27.765534085777407 64.65412490633571, 15.019333893050288 59.60245880563486)'
FR00-BE00-DC,FR00,BE00,380,4300,459210.34945001395,t,f,FR00 -> BE00,'LINESTRING (2.5531561680612014 46.661234529363774, 4.96793113501169 50.47063494467691)'
FR00-CH00-DC,FR00,CH00,380,4500,448562.49727352156,t,f,FR00 -> CH00,'LINESTRING (2.5531561680612014 46.661234529363774, 8.416155547862315 46.797090406754855)'
