,AL00,AT00,BA00,BE00,BG00,CH00,CY00,CZ00,DE00,DKE1,DKW1,EE00,ES00,FI00,FR00,FR15,GB00,GBNI,GR00,GR03,HR00,HU00,IE00,ITCA,ITCN,ITCS,ITN1,ITS1,ITSA,ITSI,LT00,LUB1,LUF1,LUG1,LUV1,LV00,ME00,MK00,MT00,NL00,NOM1,NON1,NOS0,PL00,PT00,RO00,RS00,SE01,SE02,SE03,SE04,SI00,SK00,ITCO,ITVI
2009-01-01 00:00:00,0.0,256.27147173279985,149.29761904761904,0.0,20.494240036962562,97.67152905414001,0.0,1.3229207756347707,27.85822023458447,0.0,0.0,0.0,21.906094749240268,0.0,0.0,0.0,0.0,0.0,96.49999999999999,0.0,73.84208509681916,0.0,0.0,0.0,0.0,89.9882669983416,227.03143868453571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.097862689670864,0.0,59.77134667313613,5.928931847893753,379.2202380952379,211.11030256606665,0.0,0.0,0.0,0.0,0.0,0.0,6.936845738202952,0.0,0.0
2009-01-01 01:00:00,0.0,256.27147173279985,149.29761904761904,0.0,20.494240036962562,97.67152905414001,0.0,1.3229207756347707,27.85822023458447,0.0,0.0,0.0,21.906094749240268,0.0,0.0,0.0,0.0,0.0,96.49999999999999,0.0,73.84208509681916,0.0,0.0,0.0,0.0,89.9882669983416,227.03143868453571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.097862689670864,0.0,59.77134667313613,5.928931847893753,379.2202380952379,211.11030256606665,0.0,0.0,0.0,0.0,0.0,0.0,6.936845738202952,0.0,0.0
2009-01-01 02:00:00,0.0,256.27147173279985,149.29761904761904,0.0,20.494240036962562,97.67152905414001,0.0,1.3229207756347707,27.85822023458447,0.0,0.0,0.0,21.906094749240268,0.0,0.0,0.0,0.0,0.0,96.49999999999999,0.0,73.84208509681916,0.0,0.0,0.0,0.0,89.9882669983416,227.03143868453571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.097862689670864,0.0,59.77134667313613,5.928931847893753,379.2202380952379,211.11030256606665,0.0,0.0,0.0,0.0,0.0,0.0,6.936845738202952,0.0,0.0
2009-01-01 03:00:00,0.0,256.27147173279985,149.29761904761904,0.0,20.494240036962562,97.67152905414001,0.0,1.3229207756347707,27.85822023458447,0.0,0.0,0.0,21.906094749240268,0.0,0.0,0.0,0.0,0.0,96.49999999999999,0.0,73.84208509681916,0.0,0.0,0.0,0.0,89.9882669983416,227.03143868453571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.097862689670864,0.0,59.77134667313613,5.928931847893753,379.2202380952379,211.11030256606665,0.0,0.0,0.0,0.0,0.0,0.0,6.936845738202952,0.0,0.0
2009-01-01 04:00:00,0.0,256.27147173279985,149.29761904761904,0.0,20.494240036962562,97.67152905414001,0.0,1.3229207756347707,27.85822023458447,0.0,0.0,0.0,21.906094749240268,0.0,0.0,0.0,0.0,0.0,96.49999999999999,0.0,73.84208509681916,0.0,0.0,0.0,0.0,89.9882669983416,227.03143868453571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.097862689670864,0.0,59.77134667313613,5.928931847893753,379.2202380952379,211.11030256606665,0.0,0.0,0.0,0.0,0.0,0.0,6.936845738202952,0.0,0.0
2009-01-01 05:00:00,0.0,256.27147173279985,149.29761904761904,0.0,20.494240036962562,97.67152905414001,0.0,1.3229207756347707,27.85822023458447,0.0,0.0,0.0,21.906094749240268,0.0,0.0,0.0,0.0,0.0,96.49999999999999,0.0,73.84208509681916,0.0,0.0,0.0,0.0,89.9882669983416,227.03143868453571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.097862689670864,0.0,59.77134667313613,5.928931847893753,379.2202380952379,211.11030256606665,0.0,0.0,0.0,0.0,0.0,0.0,6.936845738202952,0.0,0.0
2009-01-01 06:00:00,0.0,256.27147173279985,149.29761904761904,0.0,20.494240036962562,97.67152905414001,0.0,1.3229207756347707,27.85822023458447,0.0,0.0,0.0,21.906094749240268,0.0,0.0,0.0,0.0,0.0,96.49999999999999,0.0,73.84208509681916,0.0,0.0,0.0,0.0,89.9882669983416,227.03143868453571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.097862689670864,0.0,59.77134667313613,5.928931847893753,379.2202380952379,211.11030256606665,0.0,0.0,0.0,0.0,0.0,0.0,6.936845738202952,0.0,0.0
2009-01-01 07:00:00,0.0,256.27147173279985,149.29761904761904,0.0,20.494240036962562,97.67152905414001,0.0,1.3229207756347707,27.85822023458447,0.0,0.0,0.0,21.906094749240268,0.0,0.0,0.0,0.0,0.0,96.49999999999999,0.0,73.84208509681916,0.0,0.0,0.0,0.0,89.9882669983416,227.03143868453571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.097862689670864,0.0,59.77134667313613,5.928931847893753,379.2202380952379,211.11030256606665,0.0,0.0,0.0,0.0,0.0,0.0,6.936845738202952,0.0,0.0
2009-01-01 08:00:00,0.0,256.27147173279985,149.29761904761904,0.0,20.494240036962562,97.67152905414001,0.0,1.3229207756347707,27.85822023458447,0.0,0.0,0.0,21.906094749240268,0.0,0.0,0.0,0.0,0.0,96.49999999999999,0.0,73.84208509681916,0.0,0.0,0.0,0.0,89.9882669983416,227.03143868453571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.097862689670864,0.0,59.77134667313613,5.928931847893753,379.2202380952379,211.11030256606665,0.0,0.0,0.0,0.0,0.0,0.0,6.936845738202952,0.0,0.0
2009-01-01 09:00:00,0.0,256.27147173279985,149.29761904761904,0.0,20.494240036962562,97.67152905414001,0.0,1.3229207756347707,27.85822023458447,0.0,0.0,0.0,21.906094749240268,0.0,0.0,0.0,0.0,0.0,96.49999999999999,0.0,73.84208509681916,0.0,0.0,0.0,0.0,89.9882669983416,227.03143868453571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.097862689670864,0.0,59.77134667313613,5.928931847893753,379.2202380952379,211.11030256606665,0.0,0.0,0.0,0.0,0.0,0.0,6.936845738202952,0.0,0.0
