carrier,index_carrier,bus,p_nom,e_nom,efficiency,country,unit,open_tyndp_type
solar-thermal-w-storage,solar-thermal-w-storage,AT00,0.0,0.0,1.0,AT,MW,solar-thermal-w-storage
solar-thermal-w-storage,solar-thermal-w-storage-storage,AT00,0.0,0.0,1.0,AT,MWh,solar-thermal-w-storage-storage
battery,battery-charge,AT00,67.75756044512971,0.0,0.9199999999999999,AT,MW,battery-charge
battery,battery-discharge,AT00,67.75756044512971,0.0,0.9199999999999999,AT,MW,battery-discharge
battery,battery-store,AT00,0.0,101.6363406676945,0.9199999999999999,AT,MWh,battery-store
uranium,nuclear,AT00,0.0,0.0,1.0,AT,MW,nuclear
coal,coal-old1,AT00,0.0,0.0,1.0,AT,MW,coal
coal,coal-old2,AT00,0.0,0.0,1.0,AT,MW,coal
coal,coal-new,AT00,0.0,0.0,1.0,AT,MW,coal
coal,coal-ccs,AT00,0.0,0.0,1.0,AT,MW,coal-ccs
lignite,lignite-old1,AT00,0.0,0.0,1.0,AT,MW,lignite
lignite,lignite-old2,AT00,0.0,0.0,1.0,AT,MW,lignite
lignite,lignite-new,AT00,0.0,0.0,1.0,AT,MW,lignite
lignite,lignite-ccs,AT00,0.0,0.0,1.0,AT,MW,lignite-ccs
gas,gas-conv-old1,AT00,414.33,0.0,1.0,AT,MW,gas-conv
gas,gas-conv-old2,AT00,79.46,0.0,1.0,AT,MW,gas-conv
gas,gas-ccgt-old1,AT00,356.5,0.0,1.0,AT,MW,gas-ccgt
gas,gas-ccgt-old2,AT00,220.0,0.0,1.0,AT,MW,gas-ccgt
gas,gas-ccgt-new,AT00,113.0,0.0,1.0,AT,MW,gas-ccgt
gas,gas-ccgt-ccs,AT00,0.0,0.0,1.0,AT,MW,gas-ccgt-ccs
gas,gas-ocgt-old,AT00,17.2,0.0,1.0,AT,MW,gas-ocgt
gas,gas-ocgt-new,AT00,51.2,0.0,1.0,AT,MW,gas-ocgt
oil-light,oil-light,AT00,120.0,0.0,1.0,AT,MW,oil-light
oil-heavy,oil-heavy-old1,AT00,0.0,0.0,1.0,AT,MW,oil-heavy
oil-heavy,oil-heavy-old2,AT00,0.0,0.0,1.0,AT,MW,oil-heavy
oil-shale,oil-shale-old,AT00,0.0,0.0,1.0,AT,MW,oil-shale
oil-shale,oil-shale-new,AT00,0.0,0.0,1.0,AT,MW,oil-shale
gas,gas-ccgt-present1,AT00,370.0,0.0,1.0,AT,MW,gas-ccgt
gas,gas-ccgt-present2,AT00,1751.6,0.0,1.0,AT,MW,gas-ccgt
h2-fuel-cell,h2-fuel-cell,AT00,0.0,0.0,1.0,AT,MW,h2-fuel-cell
h2-ccgt,h2-ccgt,AT00,0.0,0.0,1.0,AT,MW,h2-ccgt
chp,chp-gas-ccgt-old-1-other-70.65eur,AT00,845.24,0.0,0,AT,MW,
other-res,other-res,AT00,760.6445554814278,0.0,1.0,AT,MW,other-res
electrolyser,electrolyser-onshore-grid,BA00,0,0.0,0,BA,MW,electrolyser-onshore-grid
hydro-ror,hydro-ror-turbine,BA00,40.8,0.0,1.0,BA,MW,hydro-ror-turbine
hydro-pondage,hydro-pondage-reservoir,BA00,0.0,1330.0,1.0,BA,MWh,hydro-pondage-reservoir
hydro-pondage,hydro-pondage-turbine,BA00,108.6,0.0,1.0,BA,MW,hydro-pondage-turbine
hydro-reservoir,hydro-reservoir-reservoir,BA00,0.0,1795910.0,1.0,BA,MWh,hydro-reservoir-reservoir
hydro-reservoir,hydro-reservoir-turbine,BA00,1906.0,0.0,1.0,BA,MW,hydro-reservoir-turbine
hydro-phs,hydro-phs-reservoir,BA00,0.0,3430.0,1.0,BA,MWh,hydro-phs-reservoir
hydro-phs,hydro-phs-turbine,BA00,440.0,0.0,1.0,BA,MW,hydro-phs-turbine
hydro-phs,hydro-phs-pump,BA00,-440.0,0.0,1.0,BA,MW,hydro-phs-pump
hydro-phs-pure,hydro-phs-pure-reservoir,BA00,0.0,0.0,1.0,BA,MWh,hydro-phs-pure-reservoir
hydro-phs-pure,hydro-phs-pure-turbine,BA00,0.0,0.0,1.0,BA,MW,hydro-phs-pure-turbine
hydro-phs-pure,hydro-phs-pure-pump,BA00,0.0,0.0,1.0,BA,MW,hydro-phs-pure-pump
onwind,onwind,BA00,786.6,0.0,1.0,BA,MW,onwind
offwind,offwind,BA00,0.0,0.0,1.0,BA,MW,offwind
solar-thermal,solar-thermal,BA00,0.0,0.0,1.0,BA,MW,solar-thermal
solar-pv-utility,solar-pv-utility,BA00,454.79999999999995,0.0,1.0,BA,MW,solar-pv-utility
solar-pv-rooftop,solar-pv-rooftop,BA00,0.0,0.0,1.0,BA,MW,solar-pv-rooftop
solar-thermal-w-storage,solar-thermal-w-storage,BA00,0.0,0.0,1.0,BA,MW,solar-thermal-w-storage
solar-thermal-w-storage,solar-thermal-w-storage-storage,BA00,0.0,0.0,1.0,BA,MWh,solar-thermal-w-storage-storage
battery,battery-charge,BA00,0,0.0,0,BA,MW,battery-charge
battery,battery-discharge,BA00,0,0.0,0,BA,MW,battery-discharge
battery,battery-store,BA00,0.0,0,0,BA,MWh,battery-store
uranium,nuclear,BA00,0.0,0.0,1.0,BA,MW,nuclear
coal,coal-old1,BA00,0.0,0.0,1.0,BA,MW,coal
coal,coal-old2,BA00,0.0,0.0,1.0,BA,MW,coal
